ID,Parameter,Gloss,Group,Concepticon_ID,Concepticon_Gloss,Dataset
BornSameDay,BornSameDay,Born on the Same Day,,,,parabank
FMZD,FMZD,father's mother's sister's daughter,,,,parabank
HB,HB,husband's brother,Affines,,,parabank
HZ,HZ,husband's sister,Affines,,,parabank
HusbandsSameGroup,HusbandsSameGroup,Husbands Same Group,,,,parabank
WB,WB,wife's brother,Affines,,,parabank
WZ,WZ,wife's sister,Affines,,,parabank
WifesSameGroup,WifesSameGroup,Wifes Same Group,Affines,,,parabank
fBW,fBW,female ego's brother's wife,Affines,,,varikin;parabank
fD,fD,female ego's daughter,children,,,varikin;parabank
fDD,fDD,female ego's daugher's daughter,Grandparents & -children,,,varikin;parabank
fDH,fDH,female ego's daughter's husband,Affines,2266,SON-IN-LAW (OF WOMAN),varikin;parabank
fDS,fDS,female ego's daughter's son,Grandparents & -children,,,varikin;parabank
fF,fF,female ego's father,Parents,,,varikin;parabank
fFBD,fFBD,female ego's father's brother's daughter,Cousins,,,varikin;parabank
fFBS,fFBS,female ego's father's brother's son,Cousins,,,varikin;parabank
fFBeD,fFBeD,female ego‘s father‘s brother‘s older daughter,Cousins by relative age of cousin to ego,,,varikin;parabank
fFBeS,fFBeS,female ego‘s father‘s brother‘s older son,Cousins by relative age of cousin to ego,,,varikin;parabank
fFByD,fFByD,female ego‘s father‘s brother‘s younger daughter,Cousins by relative age of cousin to ego,,,varikin;parabank
fFByS,fFByS,female ego‘s father‘s brother‘s younger son,Cousins by relative age of cousin to ego,,,varikin;parabank
fFF,fFF,female ego's father's father,Grandparents & -children,,,varikin;parabank
fFFF,fFFF,female ego's father's father's father,Grandparents & -children,,,varikin;parabank
fFFM,fFFM,female ego's father's father's mother,Grandparents & -children,,,varikin;parabank
fFM,fFM,female ego's father's mother,Grandparents & -children,,,varikin;parabank
fFMF,fFMF,female ego's father's mother's father,Grandparents & -children,,,varikin;parabank
fFMM,fFMM,female ego's father's mother's mother,Grandparents & -children,,,parabank
fFZD,fFZD,female ego's father's sister's daughter,Cousins,,,varikin;parabank
fFZS,fFZS,female ego's father's sister's son,Cousins,,,varikin;parabank
fFZeD,fFZeD,female ego‘s father‘s sisters‘s older daughter,Cousins by relative age of cousin to ego,,,varikin;parabank
fFZeS,fFZeS,female ego‘s father‘s sisters‘s older son,Cousins by relative age of cousin to ego,,,varikin;parabank
fFZyD,fFZyD,female ego‘s father‘s sisters‘s younger daughter,Cousins by relative age of cousin to ego,,,varikin;parabank
fFZyS,fFZyS,female ego‘s father‘s sisters‘s younger son,Cousins by relative age of cousin to ego,,,varikin;parabank
fFeB,fFeB,female ego's father's older brother,Uncles & Aunts,,,varikin;parabank
fFeBD,fFeBD,female ego's father‘s older brother‘s daughter,Cousins by relative age of parent,,,varikin;parabank
fFeBS,fFeBS,female ego's father‘s older brother‘s son,Cousins by relative age of parent,,,varikin;parabank
fFeBW,fFeBW,fFeBW,,,,parabank
fFeZ,fFeZ,female ego's father's older sister,Uncles & Aunts,,,varikin;parabank
fFeZD,fFeZD,female ego's father‘s older sister‘s daughter,Cousins by relative age of parent,,,varikin;parabank
fFeZS,fFeZS,female ego's father‘s older sister‘s son,Cousins by relative age of parent,,,varikin;parabank
fFexchangeZ,fFexchangeZ,fFexchangeZ,,,,parabank
fFexchangeZD,fFexchangeZD,fFexchangeZD,,,,parabank
fFexchangeZS,fFexchangeZS,fFexchangeZS,,,,parabank
fFyB,fFyB,female ego's father's younger brother,Uncles & Aunts,,,varikin;parabank
fFyBD,fFyBD,female ego‘s father‘s younger brother‘s daughter,Cousins by relative age of parent,,,varikin;parabank
fFyBS,fFyBS,female ego‘s father‘s younger brother‘s son,Cousins by relative age of parent,,,varikin;parabank
fFyZ,fFyZ,female ego's father's younger sister,Uncles & Aunts,,,varikin;parabank
fFyZD,fFyZD,female ego‘s father‘s younger sister‘s daughter,Cousins by relative age of parent,,,varikin;parabank
fFyZS,fFyZS,female ego‘s father‘s younger sister‘s son,Cousins by relative age of parent,,,varikin;parabank
fH,fH,female ego‘s husband,Affines,1200,HUSBAND,varikin;parabank
fHB,fHB,female ego's husband's brother,Affines,,,varikin;parabank
fHBW,fHBW,female ego's husband's brother's wife,Affines,,,parabank
fHF,fHF,female ego's husband's father,Affines,2254,FATHER-IN-LAW (OF WOMAN),varikin;parabank
fHM,fHM,female ego's husband's mother,Affines,2256,MOTHER-IN-LAW (OF WOMAN),varikin;parabank
fHW,fHW,female ego's husband's wife,Affines,,,varikin;parabank
fHZ,fHZ,female ego's husband's sister,Affines,,,varikin;parabank
fHZH,fHZH,female ego's husband's sister's husband,Affines,,,varikin;parabank
fM,fM,female ego's mother,Parents,,,varikin;parabank
fMBD,fMBD,female ego's mother's brother's daughter,Cousins,,,varikin;parabank
fMBS,fMBS,female ego's mother's brother's son,Cousins,,,varikin;parabank
fMBeD,fMBeD,female ego‘s mother‘s brother‘s older daughter,Cousins by relative age of cousin to ego,,,varikin;parabank
fMBeS,fMBeS,female ego‘s mother‘s brother‘s older son,Cousins by relative age of cousin to ego,,,varikin;parabank
fMByD,fMByD,female ego‘s mother‘s brother‘s younger daughter,Cousins by relative age of cousin to ego,,,varikin;parabank
fMByS,fMByS,female ego‘s mother‘s brother‘s younger son,Cousins by relative age of cousin to ego,,,varikin;parabank
fMF,fMF,female ego's mother's father,Grandparents & -children,,,varikin;parabank
fMFF,fMFF,female ego's mother's father's father,Grandparents & -children,,,varikin;parabank
fMFM,fMFM,female ego's mother's father's mother,Grandparents & -children,,,parabank
fMM,fMM,female ego's mother's mother,Grandparents & -children,,,varikin;parabank
fMMF,fMMF,female ego's mother's mother's father,Grandparents & -children,,,varikin;parabank
fMMM,fMMM,female ego's mother's mother's mother,Grandparents & -children,,,parabank
fMZD,fMZD,female ego's mother's sister's daughter,Cousins,,,varikin;parabank
fMZS,fMZS,female ego's mother's sister's son,Cousins,,,varikin;parabank
fMZeD,fMZeD,female ego‘s mother‘s sisters‘s older daughter,Cousins by relative age of cousin to ego,,,varikin;parabank
fMZeS,fMZeS,female ego‘s mother‘s sisters‘s older son,Cousins by relative age of cousin to ego,,,varikin;parabank
fMZyD,fMZyD,female ego‘s mother‘s sisters‘s younger daughter,Cousins by relative age of cousin to ego,,,varikin;parabank
fMZyS,fMZyS,female ego‘s mother‘s sisters‘s younger son,Cousins by relative age of cousin to ego,,,varikin;parabank
fMeB,fMeB,female ego's mother's older brother,Uncles & Aunts,,,varikin;parabank
fMeBD,fMeBD,female ego's mother‘s older brother‘s daughter,Cousins by relative age of parent,,,varikin;parabank
fMeBS,fMeBS,female ego's mother‘s older brother‘s son,Cousins by relative age of parent,,,varikin;parabank
fMeZ,fMeZ,female ego's mother's older sister,Uncles & Aunts,,,varikin;parabank
fMeZD,fMeZD,female ego's mother‘s older sister‘s daughter,Cousins by relative age of parent,,,varikin;parabank
fMeZS,fMeZS,female ego's mother‘s older sister‘s son,Cousins by relative age of parent,,,varikin;parabank
fMexchangeB,fMexchangeB,fMexchangeB,,,,parabank
fMyB,fMyB,female ego's mother's younger brother,Uncles & Aunts,,,varikin;parabank
fMyBD,fMyBD,female ego‘s mother‘s younger brother‘s daughter,Cousins by relative age of parent,,,varikin;parabank
fMyBS,fMyBS,female ego‘s mother‘s younger brother‘s son,Cousins by relative age of parent,,,varikin;parabank
fMyZ,fMyZ,female ego's mother's younger sister,Uncles & Aunts,,,varikin;parabank
fMyZD,fMyZD,female ego‘s mother‘s younger sister‘s daughter,Cousins by relative age of parent,,,varikin;parabank
fMyZS,fMyZS,female ego‘s mother‘s younger sister‘s son,Cousins by relative age of parent,,,varikin;parabank
fS,fS,female ego's son,children,,,varikin;parabank
fSD,fSD,female ego's son's daughter,Grandparents & -children,,,varikin;parabank
fSS,fSS,female ego's son's son,Grandparents & -children,,,varikin;parabank
fSW,fSW,female ego's son's wife,Affines,2264,DAUGHTER-IN-LAW (OF WOMAN),varikin;parabank
fZH,fZH,female ego's sister's husband,Affines,,,varikin;parabank
feB,feB,female ego's older brother,Siblings,2415,OLDER BROTHER (OF WOMAN),varikin;parabank
feBD,feBD,female ego's older brother's daughter,Nieces & Nephews,,,varikin;parabank
feBS,feBS,female ego's older brother's son,Nieces & Nephews,,,varikin;parabank
feZ,feZ,female ego's older sister,Siblings,2419,OLDER SISTER (OF WOMAN),varikin;parabank
feZD,feZD,female ego's older sister's daughter,Nieces & Nephews,,,varikin;parabank
feZS,feZS,female ego's older sister's son,Nieces & Nephews,,,varikin;parabank
fexchangeB,fexchangeB,fexchangeB,,,,parabank
fexchangeBW,fexchangeBW,fexchangeBW,,,,parabank
fyB,fyB,female ego's younger brother,Siblings,2417,YOUNGER BROTHER (OF WOMAN),varikin;parabank
fyBD,fyBD,female ego's younger brother's daughter,Nieces & Nephews,,,varikin;parabank
fyBS,fyBS,female ego's younger brother's son,Nieces & Nephews,,,varikin;parabank
fyZ,fyZ,female ego's younger sister,Siblings,2421,YOUNGER SISTER (OF WOMAN),varikin;parabank
fyZD,fyZD,female ego's younger sister's daughter,Nieces & Nephews,,,varikin;parabank
fyZS,fyZS,female ego's younger sister's son,Nieces & Nephews,,,varikin;parabank
mBW,mBW,male ego's brother's wife,Affines,,,varikin;parabank
mD,mD,male ego's daughter,children,,,varikin;parabank
mDD,mDD,male ego's daughter's daughter,Grandparents & -children,,,varikin;parabank
mDH,mDH,male ego's daughter's husband,Affines,2267,SON-IN-LAW (OF MAN),varikin;parabank
mDS,mDS,male ego's daughter's son,Grandparents & -children,,,varikin;parabank
mF,mF,male ego's father,Parents,,,varikin;parabank
mFBD,mFBD,male ego's father's brother's daughter,Cousins,,,varikin;parabank
mFBS,mFBS,male ego's father's brother's son,Cousins,,,varikin;parabank
mFBeD,mFBeD,male ego‘s father‘s brother‘s older daughter,Cousins by relative age of cousin to ego,,,varikin;parabank
mFBeS,mFBeS,male ego‘s father‘s brother‘s older son,Cousins by relative age of cousin to ego,,,varikin;parabank
mFByD,mFByD,male ego‘s father‘s brother‘s younger daughter,Cousins by relative age of cousin to ego,,,varikin;parabank
mFByS,mFByS,male ego‘s father‘s brother‘s younger son,Cousins by relative age of cousin to ego,,,varikin;parabank
mFF,mFF,male ego's father‘s father,Grandparents & -children,,,varikin;parabank
mFFF,mFFF,male ego's father‘s father's father,Grandparents & -children,,,varikin;parabank
mFFFF,mFFFF,male ego's father‘s father's father's father,Grandparents & -children,,,parabank
mFFM,mFFM,male ego's father‘s father's mother,Grandparents & -children,,,varikin;parabank
mFM,mFM,male ego's father's mother,Grandparents & -children,,,varikin;parabank
mFMF,mFMF,male ego's father‘s mother's father,Grandparents & -children,,,varikin;parabank
mFMM,mFMM,male ego's father‘s mother's mother,Grandparents & -children,,,parabank
mFZD,mFZD,male ego's father's sister's daughter,Cousins,,,varikin;parabank
mFZS,mFZS,male ego's father's sister's son,Cousins,,,varikin;parabank
mFZeD,mFZeD,male ego‘s father‘s sisters‘s older daughter,Cousins by relative age of cousin to ego,,,varikin;parabank
mFZeS,mFZeS,male ego‘s father‘s sisters‘s older son,Cousins by relative age of cousin to ego,,,varikin;parabank
mFZyD,mFZyD,male ego‘s father‘s sisters‘s younger daughter,Cousins by relative age of cousin to ego,,,varikin;parabank
mFZyS,mFZyS,male ego‘s father‘s sisters‘s younger son,Cousins by relative age of cousin to ego,,,varikin;parabank
mFeB,mFeB,male ego's father's older brother,Uncles & Aunts,,,varikin;parabank
mFeBD,mFeBD,male ego's father‘s older brother‘s daughter,Cousins by relative age of parent,,,varikin;parabank
mFeBS,mFeBS,male ego's father‘s older brother‘s son,Cousins by relative age of parent,,,varikin;parabank
mFeBW,mFeBW,male ego's father‘s older brother‘s wife,Affines,,,parabank
mFeZ,mFeZ,male ego's father's older sister,Uncles & Aunts,,,varikin;parabank
mFeZD,mFeZD,male ego's father‘s older sister‘s daughter,Cousins by relative age of parent,,,varikin;parabank
mFeZS,mFeZS,male ego's father‘s older sister‘s son,Cousins by relative age of parent,,,varikin;parabank
mFexchangeZ,mFexchangeZ,mFexchangeZ,,,,parabank
mFexchangeZD,mFexchangeZD,mFexchangeZD,,,,parabank
mFexchangeZS,mFexchangeZS,mFexchangeZS,,,,parabank
mFyB,mFyB,male ego's father's younger brother,Uncles & Aunts,,,varikin;parabank
mFyBD,mFyBD,male ego‘s father‘s younger brother‘s daughter,Cousins by relative age of parent,,,varikin;parabank
mFyBS,mFyBS,male ego‘s father‘s younger brother‘s son,Cousins by relative age of parent,,,varikin;parabank
mFyZ,mFyZ,male ego's father's younger sister,Uncles & Aunts,,,varikin;parabank
mFyZD,mFyZD,male ego‘s father‘s younger sister‘s daughter,Cousins by relative age of parent,,,varikin;parabank
mFyZS,mFyZS,male ego‘s father‘s younger sister‘s son,Cousins by relative age of parent,,,varikin;parabank
mM,mM,male ego's mother,Parents,,,varikin;parabank
mMBD,mMBD,male ego's mother's brother's daughter,Cousins,,,varikin;parabank
mMBS,mMBS,male ego's mother's brother's son,Cousins,,,varikin;parabank
mMBeD,mMBeD,male ego‘s mother‘s brother‘s older daughter,Cousins by relative age of cousin to ego,,,varikin;parabank
mMBeS,mMBeS,male ego‘s mother‘s brother‘s older son,Cousins by relative age of cousin to ego,,,varikin;parabank
mMByD,mMByD,male ego‘s mother‘s brother‘s younger daughter,Cousins by relative age of cousin to ego,,,varikin;parabank
mMByS,mMByS,male ego‘s mother‘s brother‘s younger son,Cousins by relative age of cousin to ego,,,varikin;parabank
mMF,mMF,male ego's mother's father,Grandparents & -children,,,varikin;parabank
mMFF,mMFF,male ego's mother's father's father,Grandparents & -children,,,varikin;parabank
mMFM,mMFM,male ego's mother's father's mother,Grandparents & -children,,,parabank
mMM,mMM,male ego's mother's mother,Grandparents & -children,,,varikin;parabank
mMMF,mMMF,male ego's mother's mother's father,Grandparents & -children,,,varikin;parabank
mMMM,mMMM,male ego's mother's mother's mother,Grandparents & -children,,,parabank
mMZD,mMZD,male ego's mother's sister's daughter,Cousins,,,varikin;parabank
mMZS,mMZS,male ego's mother's sister's son,Cousins,,,varikin;parabank
mMZeD,mMZeD,male ego‘s mother‘s sisters‘s older daughter,Cousins by relative age of cousin to ego,,,varikin;parabank
mMZeS,mMZeS,male ego‘s mother‘s sisters‘s older son,Cousins by relative age of cousin to ego,,,varikin;parabank
mMZyD,mMZyD,male ego‘s mother‘s sisters‘s younger daughter,Cousins by relative age of cousin to ego,,,varikin;parabank
mMZyS,mMZyS,male ego‘s mother‘s sisters‘s younger son,Cousins by relative age of cousin to ego,,,varikin;parabank
mMeB,mMeB,male ego's mother's older brother,Uncles & Aunts,,,varikin;parabank
mMeBD,mMeBD,male ego's mother‘s older brother‘s daughter,Cousins by relative age of parent,,,varikin;parabank
mMeBS,mMeBS,male ego's mother‘s older brother‘s son,Cousins by relative age of parent,,,varikin;parabank
mMeZ,mMeZ,male ego's mother's older sister,Uncles & Aunts,,,varikin;parabank
mMeZD,mMeZD,male ego's mother‘s older sister‘s daughter,Cousins by relative age of parent,,,varikin;parabank
mMeZS,mMeZS,male ego's mother‘s older sister‘s son,Cousins by relative age of parent,,,varikin;parabank
mMexchangeB,mMexchangeB,mMexchangeB,,,,parabank
mMyB,mMyB,male ego's mother's younger brother,Uncles & Aunts,,,varikin;parabank
mMyBD,mMyBD,male ego‘s mother‘s younger brother‘s daughter,Cousins by relative age of parent,,,varikin;parabank
mMyBS,mMyBS,male ego‘s mother‘s younger brother‘s son,Cousins by relative age of parent,,,varikin;parabank
mMyZ,mMyZ,male ego's mother's younger sister,Uncles & Aunts,,,varikin;parabank
mMyZD,mMyZD,male ego‘s mother‘s younger sister‘s daughter,Cousins by relative age of parent,,,varikin;parabank
mMyZS,mMyZS,male ego‘s mother‘s younger sister‘s son,Cousins by relative age of parent,,,varikin;parabank
mS,mS,male ego's son,Children,,,varikin;parabank
mSD,mSD,male ego's son's daughter,Grandparents & -children,,,varikin;parabank
mSS,mSS,male ego's son's son,Grandparents & -children,,,varikin;parabank
mSSS,mSSS,male ego's son's son's son,Grandparents & -children,,,parabank
mSSSS,mSSSS,male ego's son's son's son's son,Grandparents & -children,,,parabank
mSW,mSW,male ego's son's wife,Affines,2265,DAUGHTER-IN-LAW (OF MAN),varikin;parabank
mW,mW,male ego's wife,Affines,1199,WIFE,varikin;parabank
mWB,mWB,male ego's wife's brother,Affines,2380,BROTHER-IN-LAW (OF MAN),varikin;parabank
mWBW,mWBW,male ego's wife's brother's wife,Affines,,,varikin;parabank
mWF,mWF,male ego's wife's father,Affines,2255,FATHER-IN-LAW (OF MAN),varikin;parabank
mWM,mWM,male ego's wife's mother,Affines,2257,MOTHER-IN-LAW (OF MAN),varikin;parabank
mWZ,mWZ,male ego's wife's sister,Affines,,,varikin;parabank
mWZH,mWZH,male ego's wife's sister's husband,Affines,,,varikin;parabank
mZH,mZH,male ego's sister's husband,Affines,,,varikin;parabank
meB,meB,male ego's older brother,Siblings,2414,OLDER BROTHER (OF MAN),varikin;parabank
meBD,meBD,male ego's older brother's daughter,Nieces & Nephews,,,varikin;parabank
meBS,meBS,male ego's older brother's son,Nieces & Nephews,,,varikin;parabank
meZ,meZ,male ego's older sister,Siblings,2418,OLDER SISTER (OF MAN),varikin;parabank
meZD,meZD,male ego's older sister's daughter,Nieces & Nephews,,,varikin;parabank
meZS,meZS,male ego's older sister's son,Nieces & Nephews,,,varikin;parabank
mexchangeZ,mexchangeZ,mexchangeZ,,,,parabank
mexchangeZH,mexchangeZH,mexchangeZH,,,,parabank
myB,myB,male ego's younger brother,Siblings,2416,YOUNGER BROTHER (OF MAN),varikin;parabank
myBD,myBD,male ego's younger brother's daughter,Nieces & Nephews,,,varikin;parabank
myBS,myBS,male ego's younger brother's son,Nieces & Nephews,,,varikin;parabank
myZ,myZ,male ego's younger sister,Siblings,2420,YOUNGER SISTER (OF MAN),varikin;parabank
myZD,myZD,male ego's younger sister's daughter,Nieces & Nephews,,,varikin;parabank
myZS,myZS,male ego's younger sister's son,Nieces & Nephews,,,varikin;parabank
sibling,sibling,Sibling,Siblings,,,parabank
spouse,spouse,Spouse,Affines,,,parabank
f_a_eZD,f(a)eZD,female ego's agnatic elder sister's daughter,Nieces & Nephews,,,varikin
f_a_eZS,f(a)eZS,female ego's agnatic elder sister's son,Nieces & Nephews,,,varikin
f_a_yZD,f(a)yZD,female ego's agnatic younger sister's daughter,Nieces & Nephews,,,varikin
f_a_yZS,f(a)yZS,female ego's agnatic younger sister's son,Nieces & Nephews,,,varikin
f_c_MeZ,f(c)MeZ,female ego's cognatic mother's elder sister,Uncles & Aunts,,,varikin
f_c_MyZ,f(c)MyZ,female ego's cognatic mother's younger sister,Uncles & Aunts,,,varikin
fA,fA,female ego's ancestor,Grandparents & -children,,,varikin
fB,fB,female ego's brother,Siblings,,,varikin
fBCC,fBCC,female ego's brother's child,Nieces & Nephews,,,varikin
fBD,fBD,female ego's brother's daughter,Nieces & Nephews,,,varikin
fBS,fBS,female ego's brother's son,Nieces & Nephews,,,varikin
fC,fC,female ego's child,Children,,,varikin
fCC,fCC,female ego's child's child,Grandparents & -children,,,varikin
fDHF,fDHF,female ego's daughter husband's father,Affines,,,varikin
fDHM,fDHM,female ego's daughter husband's mother,Affines,,,varikin
fE,fE,female ego's spouse,Affines,,,varikin
fFB,fFB,female ego's father's brother,Uncles & Aunts,,,varikin
fFBDD,fFBDD,female ego's father's brother's daughter's daughter,Grandparents & -children,,,varikin
fFBDS,fFBDS,female ego's father's brother's daughter's son,Grandparents & -children,,,varikin
fFBSD,fFBSD,female ego's father's brother's son's daughter,Grandparents & -children,,,varikin
fFBSS,fFBSS,female ego's father's brother's son's son,Grandparents & -children,,,varikin
fFBSW,fFBSW,female ego's father's brother's son's wife,Affines,,,varikin
fFBW,fFBW,female ego's father's brother's wife,Affines,,,varikin
fFFBDyD,fFFBDyD,female ego's father's father's brother's daughter's younger daughter,Grandparents & -children,,,varikin
fFFBDyS,fFFBDyS,female ego's father's father's brother's daughter's younger son,,,,varikin
fFFBSS,fFFBSS,female ego's father's father's brother's son's son,,,,varikin
fFFBSeD,fFFBSeD,female ego's father's father's brother's son's elder daughter,,,,varikin
fFFBSyD,fFFBSyD,female ego's father's father's brother's son's younger daughter,,,,varikin
fFMZDyD,fFMZDyD,female ego's father's mother's sister's daughter's younger daughter,,,,varikin
fFMZDyS,fFMZDyS,female ego's father's mother's sister's daughter's younger son,,,,varikin
fFMZSS,fFMZSS,female ego's father's mother's sister's son's elder daughter,,,,varikin
fFMZSeD,fFMZSeD,female ego's father's mother's sister's son's elder daughter,,,,varikin
fFMZSyD,fFMZSyD,female ego's father's mother's sister's son's younger daughter,,,,varikin
fFW_notM,fFW(notM),female ego's father's wife (not mother),Affines,,,varikin
fFZ,fFZ,female ego's father's sister,Uncles & Aunts,,,varikin
fFZDD,fFZDD,female ego's father's sister's daughter,Cousins,,,varikin
fFZDS,fFZDS,female ego's father's sister's daughter's son,Nieces & Nephews,,,varikin
fFZH,fFZH,female ego's father's sister's husband,Affines,,,varikin
fFZSD,fFZSD,female ego's father's sister's son's daughter,Nieces & Nephews,,,varikin
fFZSS,fFZSS,female ego's father's sister's son,Cousins,,,varikin
fG,fG,female ego's grandparent,Grandparents & -children,,,varikin
fHBD,fHBD,female ego's husband's brother's daughter,Affines,,,varikin
fHBS,fHBS,female ego's husband's brother's son,Affines,,,varikin
fHFBD,fHFBD,female ego's husband's father's brother's daughter,Affines,,,varikin
fHMZ,fHMZ,female ego's husband's mother's sister,Affines,,,varikin
fHMZD,fHMZD,female ego's husband's mother's sister's daughter,Affines,,,varikin
fHeB,fHeB,female ego's husband's elder brother,Affines,,,varikin
fHeBW,fHeBW,female ego's husband's elder brother's wife,Affines,,,varikin
fHyB,fHyB,female ego's husband's younger brother,Affines,,,varikin
fHyBW,fHyBW,female ego's husband's younger brother's wife,Affines,,,varikin
fMB,fMB,female ego's mother's brother,Uncles & Aunts,,,varikin
fMBDD,fMBDD,female ego's mother's brother's daughter,Cousins,,,varikin
fMBDS,fMBDS,female ego's mother's brother's daughter's son,Nieces & Nephews,,,varikin
fMBSD,fMBSD,female ego's mother's brother's son's daughter,Nieces & Nephews,,,varikin
fMBSS,fMBSS,female ego's mother's brother's son,Cousins,,,varikin
fMBW,fMBW,female ego's mother's brother's wife,Affines,,,varikin
fMFBDS,fMFBDS,female ego's mother's father's brother's daughter's son,,,,varikin
fMFBDeD,fMFBDeD,female ego's mother's father's brother's daughter's elder daughter,,,,varikin
fMFBDyD,fMFBDyD,female ego's mother's father's brother's daughter's younger daughter,,,,varikin
fMFBSyS,fMFBSyS,female ego's mother's father's brother's son's younger son,,,,varikin
fMH_notF,fMH(notF),female ego's mother's husband (not father),Affines,,,varikin
fMMBD,fMMBD,female ego's mother's mother's brother's daughter's,,,,varikin
fMMBS,fMMBS,female ego's mother's mother's brother's son,,,,varikin
fMMZ,fMMZ,female ego's mother's mother's sister,,,,varikin
fMMZD,fMMZD,female ego's mother's mother's sister's daughter,,,,varikin
fMMZDS,fMMZDS,female ego's mother's mother's sister's daughter's son,,,,varikin
fMMZDeD,fMMZDeD,female ego's mother's mother's sister's daughter's elder daughter,,,,varikin
fMMZDyD,fMMZDyD,female ego's mother's mother's sister's daughter's younger daughter,,,,varikin
fMMZS,fMMZS,female ego's mother's mother's sister's son,,,,varikin
fMMZSyD,fMMZSyD,female ego's mother's mother's sister's son's younger daughter,,,,varikin
fMMZSyS,fMMZSyS,female ego's mother's mother's sister's son's younger son,,,,varikin
fMZ,fMZ,female ego's mother's sister,Uncles & Aunts,,,varikin
fMZDD,fMZDD,female ego's mother's sister's daughter's daughter,,,,varikin
fMZDS,fMZDS,female ego's mother's sister's daughter's son,,,,varikin
fMZH,fMZH,female ego's mother's sister's husband,Affines,,,varikin
fMZSD,fMZSD,female ego's mother's sister's son's daughter,,,,varikin
fMZSS,fMZSS,female ego's mother's sister's son's son,,,,varikin
fMZSW,fMZSW,female ego's mother's sister's son's wife,Affines,,,varikin
fP,fP,female ego's parent,,,,varikin
fPP,fPP,female ego's parents' parent,Grandparents & -children,,,varikin
fSSC,fSSC,female ego's son's son's child,Grandparents & -children,,,varikin
fSWF,fSWF,female ego's son's wife's father,Affines,,,varikin
fSWM,fSWM,female ego's son's wife's mother,Affines,,,varikin
fTW,fTW,female ego's twin,Siblings,,,varikin
fW,fW,female ego's wife,Affines,,,varikin
fWB,fWB,female ego's wife's brother,Affines,,,varikin
fWBW,fWBW,female ego's wife's brother's wife,Affines,,,varikin
fWF,fWF,female ego's wife's father,Affines,,,varikin
fWM,fWM,female ego's wife's mother,Affines,,,varikin
fWZ,fWZ,female ego's wife's sister,Affines,,,varikin
