ID,Parameter,Gloss,Group,Concepticon_ID,Concepticon_Gloss,Dataset
fWZH,fWZH,female ego's wife's sister's husband,Affines,,,varikin
fWeZ,fWeZ,female ego's wife's elder sister,Affines,,,varikin
fWyB,fWyB,female ego's wife's younger brother,Affines,,,varikin
fWyZ,fWyZ,female ego's wife's younger sister,Affines,,,varikin
fZ,fZ,female ego's sister,Siblings,,,varikin
fZD,fZD,female ego's sister's daughter,Nieces & Nephews,,,varikin
fZDD,fZDD,female ego's sister's daughter's daughter,,,,varikin
fZDH,fZDH,female ego's sister's daughter's husband,Affines,,,varikin
fZDS,fZDS,female ego's sister's daughter's son,,,,varikin
fZS,fZS,female ego's sister's son,,,,varikin
fZSW,fZSW,female ego's sister's son's wife,Affines,,,varikin
f_co_H,fco-H,female ego's co- husband,Affines,,,varikin
f_co_W,fco-W,female ego's co- wife,Affines,,,varikin
feBW,feBW,female ego's elder brother's wife,Affines,,,varikin
feD,feD,female ego's elder daughter,Siblings,,,varikin
feS,feS,female ego's elder son,Siblings,,,varikin
feZH,feZH,female ego's elder sister's husband,Affines,,,varikin
fyBW,fyBW,female ego's younger brother wife,Affines,,,varikin
fyD,fyD,female ego's younger daughter,Siblings,,,varikin
fyS,fyS,female ego's younger son,Siblings,,,varikin
fySW,fySW,female ego's younger son's wife,Affines,,,varikin
fyZH,fyZH,female ego's younger sister's husband,Affines,,,varikin
m_a_eBD,m(a)eBD,male ego's agnatic elder brother's daughter,Nieces & Nephews,,,varikin
m_a_eBS,m(a)eBS,male ego's agnatic elder brother's son,Nieces & Nephews,,,varikin
m_a_eZD,m(a)eZD,male ego's agnatic elder sister's daughter,Nieces & Nephews,,,varikin
m_a_eZS,m(a)eZS,male ego's agnatic elder sister's son,Nieces & Nephews,,,varikin
m_a_yBD,m(a)yBD,male ego's agnatic younger brother's daughter,Nieces & Nephews,,,varikin
m_a_yBS,m(a)yBS,male ego's agnatic younger brother's son,Nieces & Nephews,,,varikin
m_a_yZD,m(a)yZD,male ego's agnatic younger sister's daughter,Nieces & Nephews,,,varikin
m_a_yZS,m(a)yZS,male ego's agnatic younger sister's son,Nieces & Nephews,,,varikin
m_c_BC,m(c)BC,male ego's cognatic brother's child,Nieces & Nephews,,,varikin
m_c_MeZ,m(c)MeZ,male ego's cognatic mother's elder sister,Uncles & Aunts,,,varikin
m_c_MyZ,m(c)MyZ,male ego's cognatic mother's younger sister,Uncles & Aunts,,,varikin
m_c_ZC,m(c)ZC,male ego's cognatic sister's child,Nieces & Nephews,,,varikin
m_c_eBD,m(c)eBD,male ego's cognatic elder brother's daughter,Nieces & Nephews,,,varikin
m_c_eBS,m(c)eBS,male ego's cognatic elder brother's son,Nieces & Nephews,,,varikin
m_c_eZD,m(c)eZD,male ego's cognatic elder sister's daughter,Nieces & Nephews,,,varikin
m_c_eZS,m(c)eZS,male ego's cognatic elder sister's son,Nieces & Nephews,,,varikin
m_c_yBD,m(c)yBD,male ego's cognatic younger brother's daughter,Nieces & Nephews,,,varikin
m_c_yBS,m(c)yBS,male ego's cognatic younger brother's son,Nieces & Nephews,,,varikin
m_c_yZD,m(c)yZD,male ego's cognatic younger sister's daughter,Nieces & Nephews,,,varikin
m_c_yZS,m(c)yZS,male ego's cognatic younger sister's son,Nieces & Nephews,,,varikin
mA,mA,male ego's ancestor,Grandparents & -children,,,varikin
mB,mB,male ego's brother,Siblings,,,varikin
mBCC,mBCC,male ego's brother's child,Nieces & Nephews,,,varikin
mBD,mBD,male ego's brother's daughter,Nieces & Nephews,,,varikin
mBS,mBS,male ego's brother's son,Nieces & Nephews,,,varikin
mC,mC,male ego's child,Children,,,varikin
mCC,mCC,male ego's child's child,Grandparents & -children,,,varikin
mDHF,mDHF,male ego's daughter's husband's father,Affines,,,varikin
mDHM,mDHM,male ego's daughter's husband's mother,Affines,,,varikin
mE,mE,male ego's spouse,Affines,,,varikin
mFB,mFB,male ego's father's brother,Uncles & Aunts,,,varikin
mFBDD,mFBDD,male ego's father's brother's daughter's daughter,,,,varikin
mFBDS,mFBDS,male ego's father's brother's daughter's son,,,,varikin
mFBSD,mFBSD,male ego's father's brother's son's daughter,,,,varikin
mFBSS,mFBSS,male ego's father's brother's son's son,,,,varikin
mFBW,mFBW,male ego's father's brother's wife,Affines,,,varikin
mFFB,mFFB,male ego's father's father's brother,,,,varikin
mFFBD,mFFBD,male ego's father's father's brother's daughter,,,,varikin
mFFBDeD,mFFBDeD,male ego's father's father's brother's daughter's elder daughter,,,,varikin
mFFBDeS,mFFBDeS,male ego's father's father's brother's daughter's elder son,,,,varikin
mFFBS,mFFBS,male ego's father's father's brother's son,,,,varikin
mFFBSD,mFFBSD,male ego's father's father's brother's son daughter,,,,varikin
mFFBSeS,mFFBSeS,male ego's father's father's brother's son's elder son,,,,varikin
mFFBSyS,mFFBSyS,male ego's father's father's brother's son's younger son,,,,varikin
mFFZ,mFFZ,male ego's father's father's sister,,,,varikin
mFMB,mFMB,male ego's father's mother's brother,,,,varikin
mFMZ,mFMZ,male ego's father's mother's sister,,,,varikin
mFMZD,mFMZD,male ego's father's mother's sister's daughter,,,,varikin
mFMZDeD,mFMZDeD,male ego's father's mother's sister's daughter's elder daughter,,,,varikin
mFMZDeS,mFMZDeS,male ego's father's mother's sister's daughter's elder son,,,,varikin
mFMZS,mFMZS,male ego's father's mother's sister's son,,,,varikin
mFMZSD,mFMZSD,male ego's father's mother's sister's son's daughter,,,,varikin
mFMZSeS,mFMZSeS,male ego's father's mother's sister's son's elder son,,,,varikin
mFMZSyS,mFMZSyS,male ego's father's mother's sister's son's younger son,,,,varikin
mFW_notM,mFW(notM),male ego's father's wife (not mother),Affines,,,varikin
mFZ,mFZ,male ego's father's sister,Uncles & Aunts,,,varikin
mFZDD,mFZDD,male ego's father's sister's daughter's daughter,,,,varikin
mFZDS,mFZDS,male ego's father's sister's daughter's son,,,,varikin
mFZDyD,mFZDyD,male ego's father's sister's daughter's younger daughter,,,,varikin
mFZDyS,mFZDyS,male ego's father's sister's daughter's younger son,,,,varikin
mFZH,mFZH,male ego's father's sister's husband,Affines,,,varikin
mFZSD,mFZSD,male ego's father's sister's son's daughter,,,,varikin
mFZSS,mFZSS,male ego's father's sister's son's son,,,,varikin
mG,mG,male ego's Grandparent,,,,varikin
mH,mH,male ego's husband,Affines,,,varikin
mHB,mHB,male ego's husband's brother,Affines,,,varikin
mHBD,mHBD,male ego's husband's brother's daughter,,,,varikin
mHBS,mHBS,male ego's husband's brother's son,Affines,,,varikin
mHF,mHF,male ego's husband's father,Affines,,,varikin
mHM,mHM,male ego's husband's mother,Affines,,,varikin
mHW,mHW,male ego's husband's wife,Affines,,,varikin
mHZ,mHZ,male ego's husband's sister,Affines,,,varikin
mHZH,mHZH,male ego's husband's sister's husband,Affines,,,varikin
mHeB,mHeB,male ego's husband's elder brother,Affines,,,varikin
mHeBW,mHeBW,male ego's husband's elder brother's wife,Affines,,,varikin
mHyB,mHyB,male ego's husband's younger brother,Affines,,,varikin
mHyBW,mHyBW,male ego's husband's younger brother's wife,Affines,,,varikin
mMB,mMB,male ego's mother's brother,Uncles & Aunts,,,varikin
mMBDD,mMBDD,male ego's mother's brother's daughter's daughter,,,,varikin
mMBDS,mMBDS,male ego's mother's brother's daughter's son,,,,varikin
mMBDyD,mMBDyD,male ego's mother's brother's daughter's younger daughter,,,,varikin
mMBDyS,mMBDyS,male ego's mother's brother's daughter's younger son,,,,varikin
mMBSD,mMBSD,male ego's mother's brother's son's daughter,,,,varikin
mMBSS,mMBSS,male ego's mother's brother's son's son,,,,varikin
mMBW,mMBW,male ego's mother's brother's wife,Affines,,,varikin
mMFB,mMFB,male ego's mother's father's brother,,,,varikin
mMFBD,mMFBD,male ego's mother's father's brother's daughter,,,,varikin
mMFBDD,mMFBDD,male ego's mother's father's brother's daughter's daughter,,,,varikin
mMFBDeS,mMFBDeS,male ego's mother's father's brother's daughter's elder son,,,,varikin
mMFBDyS,mMFBDyS,male ego's mother's father's brother's daughter's younger son,,,,varikin
mMFBS,mMFBS,male ego's mother's father's brother's son,,,,varikin
mMFBSeD,mMFBSeD,male ego's mother's father's brother's son's elder daughter,,,,varikin
mMFBSeS,mMFBSeS,male ego's mother's father's brother's son's elder son,,,,varikin
mMFBSyD,mMFBSyD,male ego's mother's father's brother's son's younger daughter,,,,varikin
mMFBSyS,mMFBSyS,male ego's mother's father's brother's son's younger son,,,,varikin
mMFZ,mMFZ,male ego's mother's father's sister,,,,varikin
mMH_notF,mMH(notF),male ego's mother's husband's (not father),Affines,,,varikin
mMMB,mMMB,male ego's mother's mother's brother,,,,varikin
mMMBD,mMMBD,male ego's mother's mother's brother's daughter,,,,varikin
mMMBS,mMMBS,male ego's mother's mother's brother's son,,,,varikin
mMMZ,mMMZ,male ego's mother's mother's sister,,,,varikin
mMMZD,mMMZD,male ego's mother's mother's sister's daughter,,,,varikin
mMMZDD,mMMZDD,male ego's mother's mother's sister's daughter's daughter,,,,varikin
mMMZDeS,mMMZDeS,male ego's mother's mother's sister's daughter's elder son,,,,varikin
mMMZDyS,mMMZDyS,male ego's mother's mother's sister's daughter's younger son,,,,varikin
mMMZS,mMMZS,male ego's mother's mother's sister's son,,,,varikin
mMMZSeD,mMMZSeD,male ego's mother's mother's sister's son's elder daughter,,,,varikin
mMMZSeS,mMMZSeS,male ego's mother's mother's sister's son's elder son,,,,varikin
mMMZSyD,mMMZSyD,male ego's mother's mother's sister's son's younger daughter,,,,varikin
mMMZSyS,mMMZSyS,male ego's mother's mother's sister's son's younger son,,,,varikin
mMZ,mMZ,male ego's mother's sister,Uncles & Aunts,,,varikin
mMZDD,mMZDD,male ego's mother's sister's daughter's daughter,,,,varikin
mMZDS,mMZDS,male ego's mother's sister's daughter's son,,,,varikin
mMZH,mMZH,male ego's mother's sister's husband,Affines,,,varikin
mMZSD,mMZSD,male ego's mother's sister's son's daughter,,,,varikin
mMZSS,mMZSS,male ego's mother's sister's son's son,,,,varikin
mP,mP,male ego's parent,,,,varikin
mPP,mPP,male ego's parent's parent,,,,varikin
mSWF,mSWF,male ego's son's wife's father,Affines,,,varikin
mSWM,mSWM,male ego's son's wife's mother,Affines,,,varikin
mTW,mTW,male ego's twin,,,,varikin
mWFBD,mWFBD,male ego's wife's father's brother's daughter,Affines,,,varikin
mWFBS,mWFBS,male ego's wife's father's brother's son,Affines,,,varikin
mWFZD,mWFZD,male ego's wife's father's sister's daughter,Affines,,,varikin
mWFZS,mWFZS,male ego's wife's father's sister's son,Affines,,,varikin
mWMZ,mWMZ,male ego's wife's mother's sister,Affines,,,varikin
mWZBD,mWZBD,male ego's wife's sister's brother's daughter,Affines,,,varikin
mWZBS,mWZBS,male ego's wife's sister's brother's son,Affines,,,varikin
mWZD,mWZD,male ego's wife's sister's daughter,Affines,,,varikin
mWZS,mWZS,male ego's wife's sister's son,Affines,,,varikin
mWZZD,mWZZD,male ego's wife's sister's daughter,Affines,,,varikin
mWZZS,mWZZS,male ego's wife's sister's son,,,,varikin
mWeZ,mWeZ,male ego's wife's elder sister,Affines,,,varikin
mWyB,mWyB,male ego's wife's younger brother,Affines,,,varikin
mWyZ,mWyZ,male ego's wife's younger sister,Affines,,,varikin
mZ,mZ,male ego's sister,Siblings,,,varikin
mZD,mZD,male ego's sister's daughter,Nieces & Nephews,,,varikin
mZDD,mZDD,male ego's sister's daughter's daughter,,,,varikin
mZDS,mZDS,male ego's sister's daughter's son,,,,varikin
mZS,mZS,male ego's sister's son,Nieces & Nephews,,,varikin
m_co_H,mco-H,male ego's co- husband,Affines,,,varikin
m_co_W,mco-W,male ego's co- wife,Affines,,,varikin
meBW,meBW,male ego's elder brother's wife,Affines,,,varikin
meD,meD,male ego's elder daughter,Children,,,varikin
meS,meS,male ego's elder son,Children,,,varikin
meZH,meZH,male ego's elder sister's husband,Affines,,,varikin
myBW,myBW,male ego's younger brother's wife,Affines,,,varikin
myD,myD,male ego's younger daughter,Children,,,varikin
myS,myS,male ego's younger son,Children,,,varikin
mySW,mySW,male ego's younger son's wife,Affines,,,varikin
myZH,myZH,male ego's younger sister's husband,Affines,,,varikin
mWMBD,mWMBD,male ego's wife's brother's daughter,Affines,,,varikin
mWMBS,mWMBS,male ego's wife's brother's son,Affines,,,varikin
mWMZD,mWMZD,male ego's wife's mother's sister's daughter,Affines,,,varikin
mWMZS,mWMZS,male ego's wife's mother's sister's son,Affines,,,varikin
mFFZH,mFFZH,male ego's father's father's sister's husband,Affines,,,
mFMZH,mFMZH,male ego's father's mother's sister's husband,Affines,,,
mMFZH,mMFZH,male ego's mother's father's sister's husband,Affines,,,
mMMZH,mMMZH,male ego's mother's mother's sister's husband,Affines,,,
mFMBW,mFMBW,male ego's father's mother's brother's wife,Affines,,,
mFFBW,mFFBW,male ego's father's father's brother's wife,Affines,,,
mMMBW,mMMBW,male ego's mother's mother's brother's wife,Affines,,,
mMFBW,mMFBW,male ego's mother's father's brother's wife,Affines,,,
mWBS,mWBS,male ego's wife's brother's son,Affines,,,
mHZS,mHZS,male ego's husband's sister's son,Affines,,,
mWBD,mWBD,male ego's wife's brother's daughter,Affines,,,
mHZD,mHZD,male ego's husband's sister's daughter,Affines,,,
mBSS,mBSS,male ego's brother's son's son,,,,
mBSD,mBSD,male ego's brother's son's daughter,,,,
mZSS,mZSS,male ego's sister's son's son,,,,
mZSD,mZSD,male ego's sister's son's daughter,,,,
mBDS,mBDS,male ego's brother's daughter's son,,,,
mBDD,mBDD,male ego's brother's daughter's daughter,,,,
mWBSS,mWBSS,male ego's wife's brother's son's son,Affines,,,
mWBSD,mWBSD,male ego's wife's brother's son's daughter,Affines,,,
mWBDS,mWBDS,male ego's wife's brother's daughter's son,Affines,,,
mWBDD,mWBDD,male ego's wife's brother's daughter's daughter,Affines,,,
mWZDS,mWZDS,male ego's wife's sister's daughter's son,Affines,,,
mWZDD,mWZDD,male ego's wife's sister's daughter's daughter,Affines,,,
mHBSS,mHBSS,male ego's husband's brother's son's son,Affines,,,
mHBSD,mHBSD,male ego's husband's brother's son's daughter,Affines,,,
mHZSS,mHZSS,male ego's husband's sister's son's son,Affines,,,
mHZSD,mHZSD,male ego's husband's sister's son's daughter,Affines,,,
mHZDS,mHZDS,male ego's husband's sister's daughter's son,Affines,,,
mHBDD,mHBDD,male ego's husband's brother's daughter's daughter,Affines,,,
mHZDS,mHZDS,male ego's husband's sister's daughter's son,Affines,,,
mHZDD,mHZDD,male ego's husband's sister's daughter's daughter,Affines,,,
mHFBS,mHFBS,male ego's husband's father's brother's son,Affines,,,
mHFBS,mHFBS,male ego's husband's father's brother's son,Affines,,,
mHFBD,mHFBD,male ego's husband's father's brother's daughter,Affines,,,
mHMBD,mHMBD,male ego's husband's mother's brother's daughter,Affines,,,
mHMZS,mHMZS,male ego's husband's mother's sister's son,Affines,,,
mHMZD,mHMZD,male ego's husband's mother's sister's daughter,Affines,,,
mHBW,mHBW,male ego's husband's brother's wife,Affines,,,
fFFB,fFFB,female ego's father's father's brother,,,,
fFFZH,fFFZH,female ego's father's father's sister's husband,Affines,,,
fFMB,fFMB,female ego's father's mother's brother,,,,
fFMZH,fFMZH,female ego's father's mother's sister's husband,Affines,,,
fMFB,fMFB,female ego's mother's father's brother,,,,
fMFZH,fMFZH,female ego's mother's father's sister's husband,Affines,,,
fMMB,fMMB,female ego's mother's mother's brother,,,,
fMMZH,fMMZH,female ego's mother's mother's sister's husband,Affines,,,
fFMZ,fFMZ,female ego's father's mother's sister,,,,
fFMBW,fFMBW,female ego's father's mother's brother's wife,Affines,,,
fFFZ,fFFZ,female ego's father's father's sister,,,,
fFFBW,fFFBW,female ego's father's father's brother's wife,Affines,,,
fMMBW,fMMBW,female ego's mother's mother's brother's wife,Affines,,,
fMFZ,fMFZ,female ego's mother's father's sister,,,,
fMFBW,fMFBW,female ego's mother's father's brother's wife,Affines,,,
fWBS,fWBS,female ego's wife's brother's son,Affines,,,
fWBS,fWBS,female ego's wife's brother's son,Affines,,,
fWZS,fWZS,female ego's wife's sister's son,Affines,,,
fHZS,fHZS,female ego's husband's sister's son,Affines,,,
fWBD,fWBD,female ego's wife's brother's daughter,Affines,,,
fWZD,fWZD,female ego's wife's sister's daughter,Affines,,,
fHZD,fHZD,female ego's husband's sister's daughter,Affines,,,
fBSS,fBSS,female ego's brother's son's son,,,,
fBSD,fBSD,female ego's brother's son's daughter,,,,
fZSS,fZSS,female ego's sister's son's son,,,,
fZSD,fZSD,female ego's sister's son's daughter,,,,
fBDS,fBDS,female ego's brother's daughter's son,,,,
fBDD,fBDD,female ego's brother's daughter's daughter,,,,
fWBSS,fWBSS,female ego's wife's brother's son's son,Affines,,,
fWBSD,fWBSD,female ego's wife's brother's son's daughter,Affines,,,
fWBDS,fWBDS,female ego's wife's brother's daughter's son,Affines,,,
fWBDD,fWBDD,female ego's wife's brother's daughter's daughter,Affines,,,
fWZDS,fWZDS,female ego's wife's sister's daughter's son,Affines,,,
fWZDD,fWZDD,female ego's wife's sister's daughter's daughter,Affines,,,
fHBSS,fHBSS,female ego's husband's brother's son's son,Affines,,,
fHBSS,fHBSS,female ego's husband's brother's son's son,Affines,,,
fHBSD,fHBSD,female ego's husband's brother's son's daughter,Affines,,,
fHZSS,fHZSS,female ego's husband's sister's son's son,Affines,,,
fHZSD,fHZSD,female ego's husband's sister's son's daughter,Affines,,,
fHBDS,fHBDS,female ego's husband's brother's daughter's son,Affines,,,
fHBDD,fHBDD,female ego's husband's brother's daughter's daughter,Affines,,,
fHZDS,fHZDS,female ego's husband's sister's daughter's son,Affines,,,
fHZDD,fHZDD,female ego's husband's sister's daughter's daughter,Affines,,,
fWFBS,fWFBS,female ego's wife's father's brother's son,Affines,,,
fWFBD,fWFBD,female ego's wife's father's brother's daughter,Affines,,,
fWFZS,fWFZS,female ego's wife's father's sister's son,Affines,,,
fWFZD,fWFZD,female ego's wife's father's sister's daughter,Affines,,,
fWMBS,fWMBS,female ego's wife's mother's brother's son,Affines,,,
fWMBD,fWMBD,female ego's wife's mother's brother's daughter,Affines,,,
fWMZS,fWMZS,female ego's wife's mother's sister's son,Affines,,,
fWMZD,fWMZD,female ego's wife's mother's sister's daughter,Affines,,,
fHFBS,fHFBS,female ego's husband's father's brother's son,Affines,,,
fHMBS,fHMBS,female ego's husband's mother's brother's son,Affines,,,
fHMBD,fHMBD,female ego's husband's mother's brother's daughter,Affines,,,
fHMZS,fHMZS,female ego's husband's mother's sister's son,Affines,,,
mWBS,mWBS,male ego's wife's brother's son,Affines,,,
mMAff,mMAff,male ego's male affines,,,,
mFAff,mFAff,male ego's female affines,,,,
fHBSW,fHBSW,female ego's husband's brother's son's wife,Affines,,,
fMAff,fMAff,female ego's male affines,,,,
fFAff,fFAff,female ego's female affines,,,,
meHB,meHB,male ego's elder husband's brother,Affines,,,
myHB,myHB,male ego's younger husband's brother,Affines,,,
meHZ,meHZ,male ego's elder husband's sister,Affines,,,
myHZ,myHZ,male ego's younger husband's sister,Affines,,,
mWSH,mWSH,male ego's wife's son's husband,Affines,,,
feHB,feHB,female ego's elder husband's brother,Affines,,,
fyHB,fyHB,female ego's younger husband's brother,Affines,,,
feHZ,feHZ,female ego's elder husband's sister,Affines,,,
fyHZ,fyHZ,female ego's younger husband's sister,Affines,,,
mHBDS,mHBDS,male ego's husband's brother's daughter's son,Affines,,,
mHMBS,mHMBS,male ego's husband's mother's brother's son,Affines,,,
mWS_notS,mWS(notS),male ego's wife's son (not ego's son),Affines,,,varikin
mWD_notD,mWD(notD),male ego's wife's daughter (not ego's daughter),Affines,,,varikin
fHS_notS,fHS(notS),female ego's husband's son (not ego's son),Affines,,,varikin
fHD_notD,fHD(notD),female ego's husband's daughter (not ego's daughter),Affines,,,varikin
mFFFB,mFFFB,male ego's father's father's father's brother,Uncles & Aunts,,,varikin
mFMFB,mFMFB,male ego's father's mother's father's brother,Uncles & Aunts,,,varikin
mFFMB,mFFMB,male ego's father's father's mother's brother,Uncles & Aunts,,,varikin
mFMMB,mFMMB,male ego's father's mother's mother's brother,Uncles & Aunts,,,varikin
mFFMF,mFFMF,male ego's father's father's mother's father,Grandparents & -children,,,varikin
mFMMF,mFMMF,male ego's father's mother's mother's father,Grandparents & -children,,,varikin
mFMFF,mFMFF,male ego's father's mother's father's father,Grandparents & -children,,,varikin
fFFFB,fFFFB,female ego's father's father's father's brother,Uncles & Aunts,,,varikin
fFMFB,fFMFB,female ego's father's mother's father's brother,Uncles & Aunts,,,varikin
fFFMB,fFFMB,female ego's father's father's mother's brother,Uncles & Aunts,,,varikin
fFMMB,fFMMB,female ego's father's mother's mother's brother,Uncles & Aunts,,,varikin
fFFFF,fFFFF,female ego's father's father's father's father,Grandparents & -children,,,varikin
fFFMF,fFFMF,female ego's father's father's mother's father,Grandparents & -children,,,varikin
fFMMF,fFMMF,female ego's father's mother's mother's father,Grandparents & -children,,,varikin
fFMFF,fFMFF,female ego's father's mother's father's father,Grandparents & -children,,,varikin
mFFFZ,mFFFZ,male ego's father's father's father's sister,Uncles & Aunts,,,varikin
mFMFZ,mFMFZ,male ego's father's mother's father's sister,Uncles & Aunts,,,varikin
mFFMZ,mFFMZ,male ego's father's father's mother's sister,Uncles & Aunts,,,varikin
mFMMZ,mFMMZ,male ego's father's mother's mother's sister,Uncles & Aunts,,,varikin
mFFFM,mFFFM,male ego's father's father's father's mother,Grandparents & -children,,,varikin
mFFMM,mFFMM,male ego's father's father's mother's mother,Grandparents & -children,,,varikin
mFMFM,mFMFM,male ego's father's mother's father's mother,Grandparents & -children,,,varikin
mFMMM,mFMMM,male ego's father's mother's mother's mother,Grandparents & -children,,,varikin
fFFFZ,fFFFZ,female ego's father's father's father's sister,Uncles & Aunts,,,varikin
fFMFZ,fFMFZ,female ego's father's mother's father's sister,Uncles & Aunts,,,varikin
fFFMZ,fFFMZ,female ego's father's father's mother's sister,Uncles & Aunts,,,varikin
fFMMZ,fFMMZ,female ego's father's mother's mother's sister,Uncles & Aunts,,,varikin
fFFFM,fFFFM,female ego's father's father's father's mother,Grandparents & -children,,,varikin
fFFMM,fFFMM,female ego's father's father's mother's mother,Grandparents & -children,,,varikin
fFMFM,fFMFM,female ego's father's mother's father's mother,Grandparents & -children,,,varikin
fFMMM,fFMMM,female ego's father's mother's mother's mother,Grandparents & -children,,,varikin
fHFF,fHFF,female ego's husband's father's father,Affines,,,varikin
fHFFB,fHFFB,female ego's husband's father's father's brother,Affines,,,varikin
fHFMB,fHFMB,female ego's husband's father's mother's brother,Affines,,,varikin
mMMMZD,mMMMZD,male ego's mother's mother's mother's sister's daughter,Cousins,,,varikin
mWFM,mWFM,male ego's wife's father's mother,Affines,,,varikin
mWFFZ,mWFFZ,male ego's wife's father's father's sister,Affines,,,varikin
mWFMZ,mWFMZ,male ego's wife's father's mother's sister,Affines,,,varikin
mFFZS,mFFZS,male ego's father's father's sister's son,Cousins,,,varikin
mMMMZDD,mMMMZDD,male ego's mother's mother's mother's sister's daughter's daughter,Cousins,,,varikin
mFFFZD,mFFFZD,male ego's father's father's father's sister's daughter,Cousins,,,varikin
mFFZSS,mFFZSS,male ego's father's father's sister's son's son,Cousins,,,varikin
mMMZDS,mMMZDS,male ego's mother's mother's sister's daughter's son,Cousins,,,varikin
mehB,mehB,male ego's older half brother,Siblings,,,varikin
fehB,fehB,female ego's older half brother,Siblings,,,varikin
mehZ,mehZ,male ego's older half sister,Siblings,,,varikin
fehZ,fehZ,female ego's older half sister,Siblings,,,varikin
myhB,myhB,male ego's younger half brother,Siblings,,,varikin
fyhB,fyhB,female ego's younger half brother,Siblings,,,varikin
myhZ,myhZ,male ego's younger half sister,Siblings,,,varikin
fyhZ,fyhZ,female ego's younger half sister,Siblings,,,varikin
mFFZSDeD,mFFZSDeD,male ego's father's father's sister's son's daughter's older daughter,Cousins,,,varikin
mMMZDeD,mMMZDeD,male ego's mother's mother's sister's daughter's older daughter,Cousins,,,varikin
mFFZSyS,mFFZSyS,male ego's father's father's sister's son's younger son,Cousins,,,varikin
mMMZDyS,mMMZDyS,male ego's mother's mother's sister's daughter's younger son,Cousins,,,varikin
mFFZSyD,mFFZSyD,male ego's father's father's sister's son's younger daughter,Cousins,,,varikin
mMMZDyD,mMMZDyD,male ego's mother's mother's sister's daughter's younger daughter,Cousins,,,varikin
mFFZDS,mFFZDS,male ego's father's father's sister's daughter's son,Cousins,,,varikin
mMMZSS,mMMZSS,male ego's mother's mother's sister's son's son,Cousins,,,varikin
mFFZDD,mFFZDD,male ego's father's father's sister's daughter's daughter,Cousins,,,varikin
mMMZSD,mMMZSD,male ego's mother's mother's sister's son's daughter,Cousins,,,varikin
mFBDH,mFBDH,male ego's father's brother's daughter's husband,Affines,,,varikin
mFZDH,mFZDH,male ego's father's sister's daughter's husband,Affines,,,varikin
mMBDH,mMBDH,male ego's mother's brother's daughter's husband,Affines,,,varikin
