ID,Parameter,Gloss,Group,Concepticon_ID,Concepticon_Gloss,Dataset
mMZDH,mMZDH,male ego's mother's sister's daughter's husband,Affines,,,varikin
fFBDH,fFBDH,female ego's father's brother's daughter's husband,Affines,,,varikin
fFZDH,fFZDH,female ego's father's sister's daughter's husband,Affines,,,varikin
fMBDH,fMBDH,female ego's mother's brother's daughter's husband,Affines,,,varikin
fMZDH,fMZDH,female ego's mother's sister's daughter's husband,Affines,,,varikin
mFBSW,mFBSW,male ego's father's brother's son's wife,Affines,,,varikin
mFZSW,mFZSW,male ego's father's sister's son's wife,Affines,,,varikin
mMZSW,mMZSW,male ego's mother's sister's son's wife,Affines,,,varikin
mMBSW,mMBSW,male ego's mother's brother's son's wife,Affines,,,varikin
fFZSW,fFZSW,female ego's father's sister's son's wife,Affines,,,varikin
fMBSW,fMBSW,female ego's mother's brother's son's wife,Affines,,,varikin
mZDH,mZDH,male ego's sister's daughter's husband,Affines,,,varikin
mBDH,mBDH,male ego's brother's daughter's husband,Affines,,,varikin
fBDH,fBDH,female ego's brother's daughter's husband,Affines,,,varikin
mZSW,mZSW,male ego's sister's son's wife,Affines,,,varikin
mBSW,mBSW,male ego's brother's son's wife,Affines,,,varikin
fBSW,fBSW,female ego's brother's son's wife,Affines,,,varikin
fZCC,fZCC,female ego's sister's child's child,Nieces & Nephews,,,varikin
mZCC,mZCC,male ego's sister's child's child,Nieces & Nephews,,,varikin
mFBCCC,mFBCCC,male ego's father's brother's child's child's child,Cousins,,,varikin
mFZCCC,mFZCCC,male ego's father's sister's child's child's child,Cousins,,,varikin
mMZCCC,mMZCCC,male ego's mother's sister's child's child's child,Cousins,,,varikin
fFBCCC,fFBCCC,female ego's father's brother's child's child's child,Cousins,,,varikin
fFZCCC,fFZCCC,female ego's father's sister's child's child's child,Cousins,,,varikin
fMZCCC,fMZCCC,female ego's mother's sister's child's child's child,Cousins,,,varikin
mCCC,mCCC,male ego's child's child's child,Grandparents & -children,,,varikin
mCCCC,mCCCC,male ego's child's child's child's child,Grandparents & -children,,,varikin
fCCC,fCCC,female ego's child's child's child,Grandparents & -children,,,varikin
fCCCC,fCCCC,female ego's child's child's child's child,Grandparents & -children,,,varikin
mBCCC,mBCCC,male ego's brother's child's child's child,Nieces & Nephews,,,varikin
mZCCC,mZCCC,male ego's sister's child's child's child,Nieces & Nephews,,,varikin
fBCCC,fBCCC,female ego's brother's child's child's child,Nieces & Nephews,,,varikin
fZCCC,fZCCC,female ego's sister's child's child's child,Nieces & Nephews,,,varikin
mFBCCCC,mFBCCCC,male ego's father's brother's child's child's child's child,Cousins,,,varikin
mFZCCCC,mFZCCCC,male ego's father's sister's child's child's child's child,Cousins,,,varikin
mMBCCCC,mMBCCCC,male ego's mother's brother's child's child's child's child,Cousins,,,varikin
mMZCCCC,mMZCCCC,male ego's mother's sister's child's child's child's child,Cousins,,,varikin
fFBCCCC,fFBCCCC,female ego's father's brother's child's child's child's child,Cousins,,,varikin
fFZCCCC,fFZCCCC,female ego's father's sister's child's child's child's child,Cousins,,,varikin
fMBCCCC,fMBCCCC,female ego's mother's brother's child's child's child's child,Cousins,,,varikin
fMZCCCC,fMZCCCC,female ego's mother's sister's child's child's child's child,Cousins,,,varikin
mSSW,mSSW,male ego's son's son's wife,Affines,,,varikin
mSDH,mSDH,male ego's son's daughter's husband,Affines,,,varikin
mDSW,mDSW,male ego's daughter's son's wife,Affines,,,varikin
mDDH,mDDH,male ego's daughter's daughter's husband,Affines,,,varikin
fSSW,fSSW,female ego's son's son's wife,Affines,,,varikin
fSDH,fSDH,female ego's son's daughter's husband,Affines,,,varikin
fDSW,fDSW,female ego's daughter's son's wife,Affines,,,varikin
fDDH,fDDH,female ego's daughter's daughter's husband,Affines,,,varikin
mFFZD,mFFZD,male ego's father's father's sister's daughter,Cousins,,,varikin
mPPP,mPPP,male ego's parent's parent's parent,Grandparents & -children,,,varikin
fPPP,fPPP,female ego's parent's parent's parent,Grandparents & -children,,,varikin
mMMZDH,mMMZDH,male ego's mother's mother's sister's daughter's husband,Affines,,,varikin
mFFFBSS,mFFFBSS,male ego's father's father's father's brother's son's son,Cousins,,,varikin
mFMBS,mFMBS,male ego's father's mother's brother's son,Cousins,,,varikin
fFFBS,fFFBS,female ego's father's father's brother's son,Cousins,,,varikin
fFMZS,fFMZS,female ego's father's mother's sister's son,Cousins,,,varikin
fMMZDH,fMMZDH,female ego's mother's mother's sister's daughter's husband,Affines,,,varikin
fFFFBSS,fFFFBSS,female ego's father's father's father's brother's son's son,Cousins,,,varikin
fFMBS,fFMBS,female ego's father's mother's brother's son,Cousins,,,varikin
fFFZS,fFFZS,female ego's father's father's sister's son,Cousins,,,varikin
mFFBSW,mFFBSW,male ego's father's father's brother's son's wife,Affines,,,varikin
mMFFBSD,mMFFBSD,male ego's mother's father's father's brother's son's daughter,Affines,,,varikin
mMFZD,mMFZD,male ego's mother's father's sister's daughter,Cousins,,,varikin
fMFBD,fMFBD,female ego's mother's father's brother's daughter,Cousins,,,varikin
fFFBSW,fFFBSW,female ego's father's father's brother's son's wife,Affines,,,varikin
fMFFBSD,fMFFBSD,female ego's mother's father's father's brother's son's daughter,Cousins,,,varikin
fMFZD,fMFZD,female ego's mother's father's sister's daughter,Cousins,,,varikin
mFFBDH,mFFBDH,male ego's father's father's brother's daughter's husband,Affines,,,varikin
mFMZDH,mFMZDH,male ego's father's mother's sister's daughter's husband,Affines,,,varikin
mMFZS,mMFZS,male ego's mother's father's sister's son,Cousins,,,varikin
mFMBDH,mFMBDH,male ego's father's mother's brother's daughter's husband,Affines,,,varikin
mFFZDH,mFFZDH,male ego's father's father's sister's daughter's husband,Affines,,,varikin
mWMB,mWMB,male ego's wife's mother's brother,Affines,,,varikin
mWFZH,mWFZH,male ego's wife's father's sister's husband,Affines,,,varikin
fMFBS,fMFBS,female ego's mother's father's brother's son,Cousins,,,varikin
fFFBDH,fFFBDH,female ego's father's father's brother's daughter's husband,Affines,,,varikin
fFMZDH,fFMZDH,female ego's father's mother's sister's daughter's husband,Affines,,,varikin
fMFZS,fMFZS,female ego's mother's father's sister's son,Cousins,,,varikin
fFMBDH,fFMBDH,female ego's father's mother's brother's daughter's husband,Affines,,,varikin
fFFZDH,fFFZDH,female ego's father's father's sister's daughter's husband,Affines,,,varikin
fHMB,fHMB,female ego's husband's mother's brother,Affines,,,varikin
fHFZH,fHFZH,female ego's husband's father's sister's husband,Affines,,,varikin
mMFBSW,mMFBSW,male ego's mother's father's brother's son's wife,Affines,,,varikin
mMMZSW,mMMZSW,male ego's mother's mother's sister's son's wife,Affines,,,varikin
mFMBD,mFMBD,male ego's father's mother's brother's daughter,Cousins,,,varikin
mMFZSW,mMFZSW,male ego's mother's father's sister's son's wife,Affines,,,varikin
mMMBSW,mMMBSW,male ego's mother's mother's brother's son's wife,Affines,,,varikin
fFFBD,fFFBD,female ego's father's father's brother's daughter,Cousins,,,varikin
fFMZD,fFMZD,female ego's father's mother's sister's daughter,Cousins,,,varikin
fMFBSW,fMFBSW,female ego's mother's father's brother's sister's wife,Affines,,,varikin
fMMZSW,fMMZSW,female ego's mother's mother's sister's son's wife,Affines,,,varikin
fFFZD,fFFZD,female ego's father's father's sister's daughter,Cousins,,,varikin
fFMBD,fFMBD,female ego's father's mother's brother's daughter,Cousins,,,varikin
fMFZSW,fMFZSW,female ego's mother's father's sister's son's wife,Affines,,,varikin
fMMBSW,fMMBSW,female ego's mother's mother's brother's son's wife,Affines,,,varikin
mWFZ,mWFZ,male ego's wife's father's sister,Affines,,,varikin
mWMBW,mWMBW,male ego's wife's mother's brother's wife,Affines,,,varikin
fHFZ,fHFZ,female ego's husband's father's sister,Affines,,,varikin
fHMBW,fHMBW,female ego's husband's mother's brother's wife,Affines,,,varikin
mEFB,mEFB,male ego's spouse's father's brother,Affines,,,varikin
mEMZH,mEMZH,male ego's spouse's mother's sister's husband,Affines,,,varikin
fEFB,fEFB,female ego's spouse's father's brother,Affines,,,varikin
fEMZH,fEMZH,female ego's spouse's mother's sister's husband,Affines,,,varikin
mEMZ,mEMZ,male ego's spouse's mother's sister,Affines,,,varikin
mEFBW,mEFBW,male ego's spouse's father's brother's wife,Affines,,,varikin
fEMZ,fEMZ,female ego's spouse's mother's sister,Affines,,,varikin
fEFBW,fEFBW,female ego's spouse's father's brother's wife,Affines,,,varikin
mMMZDSS,mMMZDSS,male ego's mother's mother's sister's daughter's son's son,Cousins,,,varikin
fMMZDDS,fMMZDDS,female ego's mother's mother's sister's daughter's daughter's son,Cousins,,,varikin
mMMZDSD,mMMZDSD,male ego's mother's mother's sister's daughter's son's daughter,Cousins,,,varikin
fMMZDDD,fMMZDDD,female ego's mother's mother's sister's daughter's daughter's daughter,Cousins,,,varikin
mWBC,mWBC,male ego's wife's brother's child,Affines,,,varikin
fHZC,fHZC,female ego's husband's sister's child,Affines,,,varikin
mMZDC,mMZDC,male ego's father's brother's daughter's son,Cousins,,,varikin
fFBC,fFBC,male ego's mother's sister's daughter's child,Cousins,,,varikin
fFBSC,fFBSC,female ego's father's brother's child,Cousins,,,varikin
mZCE,mZCE,female ego's father's brother's son's child,Affines,,,varikin
fBCE,fBCE,male ego's sister's child's spouse,Affines,,,varikin
mFZDC,mFZDC,female ego's brother's child's spouse,Cousins,,,varikin
mMBDC,mMBDC,male ego's father's sister's daughter's child,Cousins,,,varikin
fFZSC,fFZSC,male ego's mother's brother's daughter's child,Cousins,,,varikin
fMBSC,fMBSC,female ego's father's sister's sister's child,Cousins,,,varikin
mWZDH,mWZDH,male ego's wife's sister's daughter's husband,Affines,,,varikin
fHBDH,fHBDH,female ego's husband's brother's daughter's husband,Affines,,,varikin
mFBSDH,mFBSDH,male ego's father's brother's son's daughter's husband,Affines,,,varikin
fFBDDH,fFBDDH,female ego's father's brother's daughter's daughter's husband,Affines,,,varikin
mWZSW,mWZSW,male ego's wife's sister's son's wife,Affines,,,varikin
mFBSSW,mFBSSW,male ego's father's brother's son's son's wife,Affines,,,varikin
fFBDSW,fFBDSW,female ego's father's brother's daughter's son's wife,Affines,,,varikin
mFWS_notBorhB,mFWS(not B or hB),male ego's father's wife's son that is not a brother or half brother.,Affines,,,varikin
mMHS_notBorhB,mMHS(not B or hB),male ego's mother's husband's son that is not a brother or half brother.,Affines,,,varikin
fFWD_notZorhZ,fFWD(not Z or hZ),female ego's father's wife's daughter that is not a sister or half sister,Affines,,,varikin
fMHD_notZorhZ,fMHD(not Z or hZ),female ego's mother's husband's daughter that is not a sister or half sister,Affines,,,varikin
mFFBSS,mFFBSS,male ego's father's father's brother's son's son,Cousins,,,varikin
fFFBSD,fFFBSD,female ego's father's father's brother's son's daughter,Cousins,,,varikin
fFWS_notBorhB,fFWS(not B or hB),female ego's father's wife's son that is not a brother or half brother.,Affines,,,varikin
fMHS_notBorhB,fMHS(not B or hB),female ego's mother's husband's son that is not a brother or half brother.,Affines,,,varikin
mFWD_notZorhZ,mFWD(not Z or hZ),male ego's father's wife's daughter that is not a sister or half sister,Affines,,,varikin
mMHD_notZorhZ,mMHD(not Z or hZ),male ego's mother's husband's daughter that is not a sister or half sister,Affines,,,varikin
mEGE,mEGE,male ego's spouse's sibling's spouse,Affines,,,varikin
fEGE,fEGE,female ego's spouse's sibling's spouse,Affines,,,varikin
fCEFB,fCEFB,female ego's child's spouse's father's brother,Affines,,,varikin
mCEFB,mCEFB,male ego's child's spouse's father's brother,Affines,,,varikin
fCEMZH,fCEMZH,female ego's child's spouse's mother's sister's husband,Affines,,,varikin
mCEMZH,mCEMZH,male ego's child's spouse's mother's sister's husband,Affines,,,varikin
fCEMZ,fCEMZ,female ego's child's spouse's mother's sister,Affines,,,varikin
mCEMZ,mCEMZ,male ego's child's spouse's mother's sister,Affines,,,varikin
fCEFBW,fCEFBW,female ego's child's spouse's father's brother's wife,Affines,,,varikin
mCEFBW,mCEFBW,male ego's child's spouse's father's brother's wife,Affines,,,varikin
mCEFBW,mCEFBW,male ego's child's spouse's father's brother's wife,Affines,,,varikin
mhB,mhB,male ego's half brother,Siblings,,,varikin
fhZ,fhZ,female ego's half sister,Siblings,,,varikin
fhB,fhB,female ego's half brother,Siblings,,,varikin
mhB_FS,mhB_FS,male speaker's paternal half brother,Siblings,,,varikin
mhZ_FD,mhZ_FD,male speaker's paternal half sister,Siblings,,,varikin
mhB_MS,mhB_MS,male speaker's maternal half brother,Siblings,,,varikin
mhZ_MD,mhZ_MD,male speaker's maternal half sister,Siblings,,,varikin
fhB_FS,fhB_FS,female speaker's paternal half brother,Siblings,,,varikin
fhZ_FD,fhZ_FD,female speaker's paternal half sister,Siblings,,,varikin
fhB_MS,fhB_MS,female speaker's maternal half brother,Siblings,,,varikin
fhZ_MD,fhZ_MD,female speaker's maternal half sister,Siblings,,,varikin
meG,meG,male speaker's elder sibling,Siblings,,,varikin
feG,feG,female speaker's elder sibling,Siblings,,,varikin
myyG,myyG,"male speaker's younger younger sibing, i.e. last born",Siblings,,,varikin
fyyG,fyyG,"female speaker's younger younger sibing, i.e. last born",Siblings,,,varikin
meW,meW,"male speaker's elder wife, i.e. his first wife because elder refers to the length of marriage in this context, rather than spousal age",Affines,,,varikin
myW,myW,"male speaker's younger wife, i.e. any wife married after the first one because younger refers to the length of marriage in this context, rather than spousal age",Affines,,,varikin
mWeB,mWeB,male speaker's wife's elder brother,Affines,,,varikin
fHyZ,fHyZ,female speaker's husband's younger sister,Affines,,,varikin
fHeZ,fHeZ,female speaker's husband's elder sister,Affines,,,varikin
mMeZH,mMeZH,male speaker's mother's elder sister's husband,Affines,,,varikin
fMeZH,fMeZH,female speaker's mother's elder sister's husband,Affines,,,varikin
mMyZH,mMyZH,male speaker's mother's younger sister's husband,Affines,,,varikin
fMyZH,fMyZH,female speaker's mother's younger sister's husband,Affines,,,varikin
mFyBW,mFyBW,male speaker's father's younger brother's wife,Affines,,,varikin
fFyBW,fFyBW,female speaker's father's younger brother's wife,Affines,,,varikin
mWFFB,mWFFB,male speaker's wife's father's father's brother,Affines,,,varikin
mWFFZH,mWFFZH,male speaker's wife's father's father's sister's husband,Affines,,,varikin
mWFMB,mWFMB,male speaker's wife's father's mother's brother,Affines,,,varikin
mWFMZH,mWFMZH,male speaker's wife's father's mother's sister's husband,Affines,,,varikin
mWMFB,mWMFB,male speaker's wife's mother's father's brother,Affines,,,varikin
mWMFZH,mWMFZH,male speaker's wife's mother's father's sister's husband,Affines,,,varikin
mWMMB,mWMMB,male speaker's wife's mother's mother's brother,Affines,,,varikin
mWMMZH,mWMMZH,male speaker's wife's mother's mother's sister's husband,Affines,,,varikin
fHFFZH,fHFFZH,female speaker's husband's father's father's sister's husband,Affines,,,varikin
fHFMZH,fHFMZH,female speaker's husband's father's mother's sister's husband,Affines,,,varikin
fHMFB,fHMFB,female speaker's husband's mother's father's brother,Affines,,,varikin
fHMFZH,fHMFZH,female speaker's husband's mother's father's sister's husband,Affines,,,varikin
fHMMB,fHMMB,female speaker's husband's mother's mother's brother,Affines,,,varikin
fHMMZH,fHMMZH,female speaker's husband's mother's mother's sister's husband,Affines,,,varikin
mWFFBW,mWFFBW,male speaker's wife's father's father's brother's wife,Affines,,,varikin
mWFMBW,mWFMBW,male speaker's wife's father's mother's brother's wife,Affines,,,varikin
mWMFBW,mWMFBW,male speaker's wife's mother's father's brother's wife,Affines,,,varikin
mWMFZ,mWMFZ,male speaker's wife's mother's father's sister,Affines,,,varikin
mWMMBW,mWMMBW,male speaker's wife's mother's mother's brother's wife,Affines,,,varikin
mWMMZ,mWMMZ,male speaker's wife's mother's mother's sister,Affines,,,varikin
fHFFBW,fHFFBW,female speaker's husband's father's father's brother's wife,Affines,,,varikin
fHFFZ,fHFFZ,female speaker's husband's father's father's sister,Affines,,,varikin
fHFMBW,fHFMBW,female speaker's husband's father's mother's brother's wife,Affines,,,varikin
fHFMZ,fHFMZ,female speaker's husband's father's mother's sister,Affines,,,varikin
fHMFBW,fHMFBW,female speaker's husband's mother's father's brother's wife,Affines,,,varikin
fHMFZ,fHMFZ,female speaker's husband's mother's father's sister,Affines,,,varikin
fHMMBW,fHMMBW,female speaker's husband's mother's mother's brother's wife,Affines,,,varikin
fHMMZ,fHMMZ,female speaker's husband's mother's mother's sister,Affines,,,varikin
mFFeBS,mFFeBS,male speaker's father's father's elder brother's son,Cousins,,,varikin
mFFyBS,mFFyBS,male speaker's father's father's younger brother's son,Cousins,,,varikin
mFFeZS,mFFeZS,male speaker's father's father's elder sister's son,Cousins,,,varikin
mFFyZS,mFFyZS,male speaker's father's father's younger sister's son,Cousins,,,varikin
mFMeBS,mFMeBS,male speaker's father's mother's elder brother's son,Cousins,,,varikin
mFMyBS,mFMyBS,male speaker's father's mother's younger brother's son,Cousins,,,varikin
mFMeZS,mFMeZS,male speaker's father's mother's elder sister's son,Cousins,,,varikin
mFMyZS,mFMyZS,male speaker's father's mother's younger sister's son,Cousins,,,varikin
fFFeBS,fFFeBS,female speaker's father's father's elder brother's son,Cousins,,,varikin
fFFyBS,fFFyBS,female speaker's father's father's younger brother's son,Cousins,,,varikin
fFFeZS,fFFeZS,female speaker's father's father's elder sister's son,Cousins,,,varikin
fFFyZS,fFFyZS,female speaker's father's father's younger sister's son,Cousins,,,varikin
fFMeBS,fFMeBS,female speaker's father's mother's elder brother's son,Cousins,,,varikin
fFMyBS,fFMyBS,female speaker's father's mother's younger brother's son,Cousins,,,varikin
fFMeZS,fFMeZS,female speaker's father's mother's elder sister's son,Cousins,,,varikin
fFMyZS,fFMyZS,female speaker's father's mother's younger sister's son,Cousins,,,varikin
mMFBDH,mMFBDH,male speaker's mother's father's brother's daughter's husband,Affines,,,varikin
mMMBDH,mMMBDH,male speaker's mother's mother's brother's daughter's husband,Affines,,,varikin
mMFZDH,mMFZDH,male speaker's mother's father's sister's daughter's husband,Affines,,,varikin
mMMZDH,mMMZDH,male speaker's mother's mother's sister's daughter's husband,Affines,,,varikin
fMFBDH,fMFBDH,female speaker's mother's father's brother's daughter's husband,Affines,,,varikin
fMMBDH,fMMBDH,female speaker's mother's mother's brother's daughter's husband,Affines,,,varikin
fMFZDH,fMFZDH,female speaker's mother's father's sister's daughter's husband,Affines,,,varikin
fMMZDH,fMMZDH,female speaker's mother's mother's sister's daughter's husband,Affines,,,varikin
mFFeBSW,mFFeBSW,male speaker's father's father's elder brother's son's wife,Affines,,,varikin
mFFyBSW,mFFyBSW,male speaker's father's father's younger brother's son's wife,Affines,,,varikin
mFFeZSW,mFFeZSW,male speaker's father's father's elder sister's son's wife,Affines,,,varikin
mFFyZSW,mFFyZSW,male speaker's father's father's younger sister's son's wife,Affines,,,varikin
mFMeBSW,mFMeBSW,male speaker's father's mother's elder brother's son's wife,Affines,,,varikin
mFMyBSW,mFMyBSW,male speaker's father's mother's younger brother's son's wife,Affines,,,varikin
mFMeZSW,mFMeZSW,male speaker's father's mother's elder sister's son's wife,Affines,,,varikin
mFMyZSW,mFMyZSW,male speaker's father's mother's younger sister's son's wife,Affines,,,varikin
fFFeBSW,fFFeBSW,female speaker's father's father's elder brother's son's wife,Affines,,,varikin
fFFyBSW,fFFyBSW,female speaker's father's father's younger brother's son's wife,Affines,,,varikin
fFFeZSW,fFFeZSW,female speaker's father's father's elder sister's son's wife,Affines,,,varikin
fFFyZSW,fFFyZSW,female speaker's father's father's younger sister's son's wife,Affines,,,varikin
fFMeBSW,fFMeBSW,female speaker's father's mother's elder brother's son's wife,Affines,,,varikin
fFMyBSW,fFMyBSW,female speaker's father's mother's younger brother's son's wife,Affines,,,varikin
fFMeZSW,fFMeZSW,female speaker's father's mother's elder sister's son's wife,Affines,,,varikin
fFMyZSW,fFMyZSW,female speaker's father's mother's younger sister's son's wife,Affines,,,varikin
mFBWB,mFBWB,male speaker's father's brother's wife's brother,Affines,,,varikin
fFBWB,fFBWB,female speaker's father's brother's wife's brother,Affines,,,varikin
mFBWBW,mFBWBW,female speaker's father's brother's wife's brother's wife,Affines,,,varikin
fFBWBW,fFBWBW,female speaker's father's brother's wife's brother's wife,Affines,,,varikin
fHFB,fHFB,female speaker's husband's father's brother,Affines,,,varikin
mWFB,mWFB,male speaker's wife's father's brother,Affines,,,varikin
fHMZH,fHMZH,female speaker's husband's mother's sister's husband,Affines,,,varikin
mWMZH,mWMZH,male speaker's wife's mother's sister's husband,Affines,,,varikin
mZHF,mZHF,male speaker's sister's husband's father,Affines,,,varikin
mZHFB,mZHFB,male speaker's sister's husband's father's brother,Affines,,,varikin
mBWF,mBWF,male speaker's brother's wife's father,Affines,,,varikin
fZHF,fZHF,female speaker's sister's husband's father,Affines,,,varikin
fZHFB,fZHFB,female speaker's sister's husband's father's brother,Affines,,,varikin
fBWF,fBWF,female speaker's brother's wife's father,Affines,,,varikin
fHFBW,fHFBW,female speaker's husband's father's brother's wife,Affines,,,varikin
mWFBW,mWFBW,male speaker's wife's father's brother's wife,Affines,,,varikin
mZHFBW,mZHFBW,male speaker's sister's husband's father's brother's wife,Affines,,,varikin
fZHFBW,fZHFBW,female speaker's sister's husband's father's brother's wife,Affines,,,varikin
fBWB,fBWB,female speaker's brother's wife's brother,Affines,,,varikin
mZHB,mZHB,male speaker's sister's husband's brother,Affines,,,varikin
fZHB,fZHB,female speaker's sister's husband's brother,Affines,,,varikin
mWeBW,mWeBW,male speaker's wife's elder brother's wife,Affines,,,varikin
mWyBW,mWyBW,male speaker's wife's younger brother's wife,Affines,,,varikin
mWBSW,mWBSW,male speaker's wife's brother's son's wife,Affines,,,varikin
mWFBSW,mWFBSW,male speaker's wife's father's brother's son's wife,Affines,,,varikin
mWMBSW,mWMBSW,male speaker's wife's mother's brother's son's wife,Affines,,,varikin
mWFZSW,mWFZSW,male speaker's wife's father's sister's son's wife,Affines,,,varikin
mWMZSW,mWMZSW,male speaker's wife's mother's sister's son's wife,Affines,,,varikin
mZHZ,mZHZ,male speaker's sister's husband's sister,Affines,,,varikin
fZHZ,fZHZ,female speaker's sister's husband's sister,Affines,,,varikin
mWeZH,mWeZH,male speaker's wife's elder sister's husband,Affines,,,varikin
mWyZH,mWyZH,male speaker's wife's younger sister's husband,Affines,,,varikin
mZHZH,mZHZH,male speaker's sister's husband's sister's husband,Affines,,,varikin
fZHZH,fZHZH,female speaker's sister's husband's sister's husband,Affines,,,varikin
fHFZS,fHFZS,female speaker's husband's father's sister's son,Affines,,,varikin
fHFBSW,fHFBSW,female speaker's husband's father's brother's son's wife,Affines,,,varikin
fHMBSW,fHMBSW,female speaker's husband's mother's brother's son's wife,Affines,,,varikin
fHFZSW,fHFZSW,female speaker's husband's mother's brother's son's wife,Affines,,,varikin
fHMZSW,fHMZSW,female speaker's husband's father's sister's son's wife,Affines,,,varikin
fHFZD,fHFZD,female speaker's husband's father's sister's daughter,Affines,,,varikin
fHeZH,fHeZH,female speaker's husband's elder sister's husband,Affines,,,varikin
fHyZH,fHyZH,female speaker's husband's younger sister's husband,Affines,,,varikin
mBWM,mBWM,male speaker's brother's wife's mother,Affines,,,varikin
fBWM,fBWM,female speaker's brother's wife's mother,Affines,,,varikin
mZHM,mZHM,male speaker's sister's husband's mother,Affines,,,varikin
fZHM,fZHM,female speaker's sister's husband's mother,Affines,,,varikin
fSWB,fSWB,female speaker's son's wife's brother,Affines,,,varikin
mSWB,mSWB,male speaker's son's wife's brother,Affines,,,varikin
fDHB,fDHB,female speaker's daughter's husband's brother,Affines,,,varikin
mDHB,mDHB,male speaker's daughter's husband's brother,Affines,,,varikin
fyZHB,fyZHB,female speaker's younger sister's husband's brother,Affines,,,varikin
myZHB,myZHB,male speaker's younger sister's husband's brother,Affines,,,varikin
fSWZ,fSWZ,female speaker's son's wife's sister,Affines,,,varikin
mSWZ,mSWZ,male speaker's son's wife's sister,Affines,,,varikin
fDHZ,fDHZ,female speaker's daughter's husband's sister,Affines,,,varikin
mDHZ,mDHZ,male speaker's daughter's husband's sister,Affines,,,varikin
