Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mG,,,male speaker's sibling,,,,
mB,,,male speaker's brother,,,,
mZ,ur,,male speaker's sister,,p289 ,Godelier_Trautmann_TjonSieFat_1998,
meB,,,male speaker's elder brother,,,,
myB,warin,,male speaker's younger brother,,p289 ,Godelier_Trautmann_TjonSieFat_1998,
meZ,,,male speaker's elder sister,,,,
myZ,,,male speaker's younger sister,,,,
mP,,,male speaker's parent,,,,
mF,yaman,,male speaker's father,,p289 ,Godelier_Trautmann_TjonSieFat_1998,
mM,renan,,male speaker's mother,,p289 ,Godelier_Trautmann_TjonSieFat_1998,
mC,yanan,,male speaker's child,,p289 ,Godelier_Trautmann_TjonSieFat_1998,
mS,,,male speaker's son,,,,
mD,,,male speaker's daughter,,,,
mA,,,male speaker's ancestor,,,,
mPP,,,male speaker's grandparent,,,,
mFF,,,male speaker's father's father,,,,
mFM,,,male speaker's father's mother,,,,
mMF,,,male speaker's mother's father,,,,
mMM,,,male speaker's mother's mother,,,,
mCC,,,male speaker's grandchild,,,,
mSS,,,male speaker's son's son,,,,
mSD,,,male speaker's son's daughter,,,,
mDS,,,male speaker's daughter's son,,,,
mDD,,,male speaker's daughter's daughter,,,,
mFB,yaman,,male speaker's father's brother,,p289 ,Godelier_Trautmann_TjonSieFat_1998,
mFZ,avan,,male speaker's father's sister,,p289 ,Godelier_Trautmann_TjonSieFat_1998,
mMB,memin,,male speaker's mother's brother,,p289 ,Godelier_Trautmann_TjonSieFat_1998,
mMZ,renan,,male speaker's mother's sister,,p289 ,Godelier_Trautmann_TjonSieFat_1998,
mFeB,,,male speaker's father's older brother,,,,
mFyB,,,male speaker's father's younger brother,,,,
mFeZ,,,male speaker's father's older sister,,,,
mFyZ,,,male speaker's father's younger sister,,,,
mMeZ,,,male speaker's mother's older sister,,,,
mMyZ,,,male speaker's mother's younger sister,,,,
mMeB,,,male speaker's mother's older brother,,,,
mMyB,,,male speaker's mother's younger brother,,,,
mBS,,,male speaker's brother's son,,,,
mBD,,,male speaker's brother's daughter,,,,
mZS,ranetan,,male speaker's sister's son,,p289 ,Godelier_Trautmann_TjonSieFat_1998,
mZD,yanan,,male speaker's sister's daughter,,p289 ,Godelier_Trautmann_TjonSieFat_1998,
meBS,,,male speaker's older brother's son,,,,
myBS,,,male speaker's younger brother's son,,,,
meBD,,,male speaker's older brother's daughter,,,,
myBD,,,male speaker's younger brother's daughter,,,,
meZS,,,male speaker's older sister's son,,,,
myZS,,,male speaker's younger sister's son,,,,
meZD,,,male speaker's older sister's daughter,,,,
myZD,,,male speaker's younger sister's daughter,,,,
mFZD,ur,,male speaker's father's sister's daughter,,p289 ,Godelier_Trautmann_TjonSieFat_1998,
mFBD,ur,,male speaker's father's brother's daughter,,p289 ,Godelier_Trautmann_TjonSieFat_1998,
mMBD,fatnima,,male speaker's mother's brother's daughter,,p289 ,Godelier_Trautmann_TjonSieFat_1998,
mMZD,ur,,male speaker's mother's sister's daughter,,p289 ,Godelier_Trautmann_TjonSieFat_1998,
mFBS,,,male speaker's father's brother's son,,,,
mFZS,da'uk,,male speaker's father's sister's son,,p289 ,Godelier_Trautmann_TjonSieFat_1998,
mMBS,da'uk,,male speaker's mother's brother's son,,p289 ,Godelier_Trautmann_TjonSieFat_1998,
mMZS,,,male speaker's mother's sister's son,,,,
mFeBS,a'an,,male speaker's father's older brother's son,,p289 ,Godelier_Trautmann_TjonSieFat_1998,
mFyBS,warin,,male speaker's father's younger brother's son,,p289 ,Godelier_Trautmann_TjonSieFat_1998,
mFeZS,,,male speaker's father's older sister's son,,,,
mFyZS,,,male speaker's father's younger sister's son,,,,
mFeBD,,,male speaker's father's older brother's daughter,,,,
mFyBD,,,male speaker's father's younger brother's daughter,,,,
mFeZD,,,male speaker's father's older sister's daughter,,,,
mFyZD,,,male speaker's father's younger sister's daughter,,,,
mMeBS,,,male speaker's mother's older brother's son,,,,
mMyBS,,,male speaker's mother's younger brother's son,,,,
mMeZS,,,male speaker's mother's older sister's son,,,,
mMyZS,warin,,male speaker's mother's younger sister's son,,p289 ,Godelier_Trautmann_TjonSieFat_1998,
mMeBD,a'an,,male speaker's mother's older brother's daughter,,p289 ,Godelier_Trautmann_TjonSieFat_1998,
mMyBD,warin,,male speaker's mother's younger brother's daughter,,p289 ,Godelier_Trautmann_TjonSieFat_1998,
mMeZD,,,male speaker's mother's older sister's daughter,,,,
mMyZD,,,male speaker's mother's younger sister's daughter,,,,
mFBeS,,,male speaker's father's brother's older son,,,,
mFByS,,,male speaker's father's brother's younger son,,,,
mFZeS,,,male speaker's father's sister's older son,,,,
mFZyS,,,male speaker's father's sister's younger son,,,,
mFBeD,,,male speaker's father's brother's older daughter,,,,
mFByD,,,male speaker's father's brother's younger daughter,,,,
mFZeD,,,male speaker's father's sister's older daughter,,,,
mFZyD,,,male speaker's father's sister's younger daughter,,,,
mMBeS,,,male speaker's mother's brother's older son,,,,
mMByS,,,male speaker's mother's brother's younger son,,,,
mMZeS,,,male speaker's mother's sister's older son,,,,
mMZyS,,,male speaker's mother's sister's younger son,,,,
mMBeD,,,male speaker's mother's brother's older daughter,,,,
mMByD,,,male speaker's mother's brother's younger daughter,,,,
mMZeD,,,male speaker's mother's sister's older daughter,,,,
mMZyD,,,male speaker's mother's sister's younger daughter,,,,
mE,,,male speaker's spouse,,,,
mH,,,male speaker's husband,,,,
mW,awan,,male speaker's wife,,p289 ,Godelier_Trautmann_TjonSieFat_1998,
mHF,,,male speaker's husband's father,,,,
mHM,,,male speaker's husband's mother,,,,
mWF,memin,,male speaker's wife's father,,p289 ,Godelier_Trautmann_TjonSieFat_1998,
mWM,avan,,male speaker's wife's mother,,p289 ,Godelier_Trautmann_TjonSieFat_1998,
mBW,,,male speaker's brother's wife,,,,
mZH,da'uk,,male speaker's sister's husband,,p289 ,Godelier_Trautmann_TjonSieFat_1998,
mWB,da'uk,,male speaker's wife's brother,,p289 ,Godelier_Trautmann_TjonSieFat_1998,
mWZ,,,male speaker's wife's sister,,,,
mHB,,,male speaker's husband's brother,,,,
mHZ,,,male speaker's husband's sister,,,,
mco-W,,,male speaker's co-wife,,,,
mco-H,,,male speaker's co-husband,,,,
mFW(notM),,,male speaker's father's wife (not mother),,,,
mMH(notF),,,male speaker's mother's husband (not father),,,,
mSW,etan,,male speaker's son's wife,,p289 ,Godelier_Trautmann_TjonSieFat_1998,
mSWM,,,male speaker's son's wife's mother,,,,
mSWF,,,male speaker's son's wife's father,,,,
mDH,ranetan,,male speaker's daughter's husband,,p289 ,Godelier_Trautmann_TjonSieFat_1998,
mDHM,,,male speaker's daughter's husband's mother,,,,
mDHF,,,male speaker's daughter's husband's father,,,,
mFZH,memin,,male speaker's father's sister's husband,,p289 ,Godelier_Trautmann_TjonSieFat_1998,
mFBW,renan,,male speaker's father's brother's wife,,p289 ,Godelier_Trautmann_TjonSieFat_1998,
mMZH,yaman,,male speaker's mother's sister's husband,,p289 ,Godelier_Trautmann_TjonSieFat_1998,
mMBW,avan,,male speaker's mother's brother's wife,,p289 ,Godelier_Trautmann_TjonSieFat_1998,
fG,,,female speaker's sibling,,,,
fB,,,female speaker's brother,,,,
fZ,,,female speaker's sister,,,,
feB,,,female speaker's elder brother,,,,
fyB,,,female speaker's younger brother,,,,
feZ,,,female speaker's elder sister,,,,
fyZ,,,female speaker's younger sister,,,,
fP,,,female speaker's parent,,,,
fF,,,female speaker's father,,,,
fM,,,female speaker's mother,,,,
fC,,,female speaker's child,,,,
fS,,,female speaker's son,,,,
fD,,,female speaker's daughter,,,,
fA,,,female speaker's ancestor,,,,
fPP,,,female speaker's grandparent,,,,
fFF,,,female speaker's father's father,,,,
fFM,,,female speaker's father's mother,,,,
fMF,,,female speaker's mother's father,,,,
fMM,,,female speaker's mother's mother,,,,
fCC,,,female speaker's grandchild,,,,
fSS,,,female speaker's son's son,,,,
fSD,,,female speaker's son's daughter,,,,
fDS,,,female speaker's daughter's son,,,,
fDD,,,female speaker's daughter's daughter,,,,
fFB,,,female speaker's father's brother,,,,
fFZ,,,female speaker's father's sister,,,,
fMB,,,female speaker's mother's brother,,,,
fMZ,,,female speaker's mother's sister,,,,
fFeB,,,female speaker's father's older brother,,,,
fFyB,,,female speaker's father's younger brother,,,,
fFeZ,,,female speaker's father's older sister,,,,
fFyZ,,,female speaker's father's younger sister,,,,
fMeZ,,,female speaker's mother's older sister,,,,
fMyZ,,,female speaker's mother's younger sister,,,,
fMeB,a'an,,female speaker's mother's older brother,,p289 ,Godelier_Trautmann_TjonSieFat_1998,
fMyB,,,female speaker's mother's younger brother,,,,
fBS,,,female speaker's brother's son,,,,
fBD,,,female speaker's brother's daughter,,,,
fZS,,,female speaker's sister's son,,,,
fZD,,,female speaker's sister's daughter,,,,
feBS,,,female speaker's older brother's son,,,,
fyBS,,,female speaker's younger brother's son,,,,
feBD,,,female speaker's older brother's daughter,,,,
fyBD,,,female speaker's younger brother's daughter,,,,
feZS,,,female speaker's older sister's son,,,,
fyZS,,,female speaker's younger sister's son,,,,
feZD,,,female speaker's older sister's daughter,,,,
fyZD,,,female speaker's younger sister's daughter,,,,
fFZD,,,female speaker's father's sister's daughter,,,,
fFBD,,,female speaker's father's brother's daughter,,,,
fMBD,,,female speaker's mother's brother's daughter,,,,
fMZD,,,female speaker's mother's sister's daughter,,,,
fFBS,,,female speaker's father's brother's son,,,,
fFZS,,,female speaker's father's sister's son,,,,
fMBS,,,female speaker's mother's brother's son,,,,
fMZS,,,female speaker's mother's sister's son,,,,
fFeBS,,,female speaker's father's older brother's son,,,,
fFyBS,,,female speaker's father's younger brother's son,,,,
fFeZS,,,female speaker's father's older sister's son,,,,
fFyZS,,,female speaker's father's younger sister's son,,,,
fFeBD,,,female speaker's father's older brother's daughter,,,,
fFyBD,,,female speaker's father's younger brother's daughter,,,,
fFeZD,,,female speaker's father's older sister's daughter,,,,
fFyZD,,,female speaker's father's younger sister's daughter,,,,
fMeBS,,,female speaker's mother's older brother's son,,,,
fMyBS,,,female speaker's mother's younger brother's son,,,,
fMeZS,,,female speaker's mother's older sister's son,,,,
fMyZS,,,female speaker's mother's younger sister's son,,,,
fMeBD,,,female speaker's mother's older brother's daughter,,,,
fMyBD,,,female speaker's mother's younger brother's daughter,,,,
fMeZD,,,female speaker's mother's older sister's daughter,,,,
fMyZD,,,female speaker's mother's younger sister's daughter,,,,
fFBeS,,,female speaker's father's brother's older son,,,,
fFByS,,,female speaker's father's brother's younger son,,,,
fFZeS,,,female speaker's father's sister's older son,,,,
fFZyS,,,female speaker's father's sister's younger son,,,,
fFBeD,,,female speaker's father's brother's older daughter,,,,
fFByD,,,female speaker's father's brother's younger daughter,,,,
fFZeD,,,female speaker's father's sister's older daughter,,,,
fFZyD,,,female speaker's father's sister's younger daughter,,,,
fMBeS,,,female speaker's mother's brother's older son,,,,
fMByS,,,female speaker's mother's brother's younger son,,,,
fMZeS,,,female speaker's mother's sister's older son,,,,
fMZyS,,,female speaker's mother's sister's younger son,,,,
fMBeD,,,female speaker's mother's brother's older daughter,,,,
fMByD,,,female speaker's mother's brother's younger daughter,,,,
fMZeD,,,female speaker's mother's sister's older daughter,,,,
fMZyD,,,female speaker's mother's sister's younger daughter,,,,
fE,,,female speaker's spouse,,,,
fH,,,female speaker's husband,,,,
fW,,,female speaker's wife,,,,
fHF,,,female speaker's husband's father,,,,
fHM,,,female speaker's husband's mother,,,,
fWF,,,female speaker's wife's father,,,,
fWM,,,female speaker's wife's mother,,,,
fBW,,,female speaker's brother's wife,,,,
fZH,,,female speaker's sister's husband,,,,
fWB,,,female speaker's wife's brother,,,,
fWZ,,,female speaker's wife's sister,,,,
fHB,,,female speaker's husband's brother,,,,
fHZ,,,female speaker's husband's sister,,,,
fco-W,,,female speaker's co-wife,,,,
fco-H,,,female speaker's co-husband,,,,
fFW(notM),,,female speaker's father's wife (not mother),,,,
fMH(notF),,,female speaker's wife's husband (not father),,,,
fSW,,,female speaker's son's wife,,,,
fSWM,,,female speaker's son's wife's mother,,,,
fSWF,,,female speaker's son's wife's father,,,,
fDH,,,female speaker's daughter's husband,,,,
fDHM,,,female speaker's daughter's husband's mother,,,,
fDHF,,,female speaker's daughter's husband's father,,,,
fFZH,,,female speaker's father's sister's husband,,,,
fFBW,,,female speaker's father's brother's wife,,,,
fMZH,,,female speaker's mother's sister's husband,,,,
fMBW,,,female speaker's mother's brother's wife,,,,
meBW,a'an,,male speaker's elder brother's wife,,p289 ,Godelier_Trautmann_TjonSieFat_1998,
mWeZ,a'an,,male speaker's wife's older sister,,p289 ,Godelier_Trautmann_TjonSieFat_1998,
myBW,warin,,male speaker's younger brother's wife,,p289 ,Godelier_Trautmann_TjonSieFat_1998,
mWyZ,warin,,male speaker's wife's younger sister,,p289 ,Godelier_Trautmann_TjonSieFat_1998,
mBC,yanan,,male speaker's brother's child,,p289 ,Godelier_Trautmann_TjonSieFat_1998,
mWBS,yanan,,male speaker's wife's brother's son,,p289 ,Godelier_Trautmann_TjonSieFat_1998,
mWBD,etan,,male speaker's wife's brother's daughter,,p289 ,Godelier_Trautmann_TjonSieFat_1998,
